,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
0,4.007606,96.03485,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.02,0.51,0.0,0.0,0.06,0.0,0.0,0.13,0.0
4,4.007606,96.36739,0.05,1.64,0.0,0.0,0.0,0.0,0.0,2.12,0.0
5,4.007606,96.45053,0.13,4.95,0.0,0.0,0.0,0.0,0.01,9.17,0.0
6,4.007606,96.53367,0.11,1.45,0.0,0.0,0.0,0.01,0.12,8.61,0.0
7,4.007606,96.616806,0.09,4.39,0.0,0.08,0.0,0.01,0.34,5.93,0.0
8,4.007606,96.69994,0.06,4.95,0.0,0.0,0.0,0.21,0.25,2.99,0.07
9,4.007606,96.78308,0.02,3.6,0.02,0.01,0.0,0.04,0.0,1.33,1.89
10,4.007606,96.86621,0.0,1.92,1.15,0.04,0.05,0.05,0.0,0.78,0.42
11,4.007606,96.94935,0.03,1.38,0.08,0.15,0.0,0.03,0.0,0.76,0.35
12,4.007606,97.032486,0.04,0.54,0.0,0.01,0.0,0.17,0.13,1.37,0.39
13,4.007606,97.11562,0.64,0.17,0.0,0.0,0.0,0.03,0.49,3.52,0.28
14,4.007606,97.19876,0.24,0.05,0.0,0.0,0.01,0.03,0.01,4.07,0.35
15,4.007606,97.28189,0.03,0.14,0.0,0.0,1.14,0.02,0.0,1.07,0.11
16,4.007606,97.36503,0.01,0.19,0.0,0.0,0.04,0.02,0.03,0.28,0.09
17,4.007606,97.448166,0.08,0.17,0.0,0.0,0.0,0.0,0.1,0.01,0.01
18,4.007606,97.5313,0.88,0.06,0.0,0.0,0.05,0.02,1.09,0.0,0.11
19,4.007606,97.61444,0.36,0.16,0.0,0.0,0.0,0.16,0.15,0.01,0.58
20,4.007606,97.69757,0.45,0.48,0.0,0.0,0.09,0.34,0.12,0.1,0.0
21,4.007606,97.78071,0.27,0.82,0.0,0.0,0.26,0.23,0.39,0.17,0.14
22,4.007606,97.863846,0.01,2.67,0.0,0.0,0.2,0.03,0.0,0.23,0.0
23,4.007606,97.94698,0.02,1.0,0.03,0.0,0.0,0.0,0.01,0.0,0.07
24,4.007606,98.03012,0.05,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.03
25,4.007606,98.11325,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06
34,4.007606,98.86148,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.05,0.02
35,4.007606,98.94461,0.02,0.0,0.0,0.07,0.0,0.04,0.0,0.06,0.01
36,4.007606,99.027756,0.17,0.0,0.01,0.0,0.01,0.11,0.0,0.03,0.04
37,4.007606,99.110886,0.0,0.09,0.0,0.01,0.01,0.6,0.02,0.03,0.05
38,4.007606,99.19402,0.0,0.21,0.01,0.41,0.0,0.1,0.0,0.0,0.0
39,4.007606,99.27716,0.0,0.01,0.07,0.01,0.0,0.0,0.05,0.1,0.01
40,4.007606,99.36029,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.01
41,4.007606,99.443436,0.11,0.73,0.0,0.0,0.03,0.0,0.01,0.03,0.01
42,4.007606,99.526566,0.0,0.54,0.0,0.0,0.0,0.0,0.04,0.06,0.0
43,4.007606,99.6097,0.0,0.13,0.02,0.0,0.0,0.0,1.28,0.0,0.0
44,4.007606,99.69284,0.0,0.01,0.0,0.12,0.01,0.0,0.13,0.08,0.0
45,4.007606,99.77597,0.02,0.1,0.07,0.0,0.0,0.0,0.02,0.0,0.21
46,4.007606,99.8591,0.02,0.36,0.01,0.0,0.0,0.0,0.14,0.05,0.0
47,4.007606,99.942245,0.03,0.02,0.0,0.11,0.0,0.0,2.06,0.0,0.0
48,4.007606,100.02538,0.0,0.0,0.0,0.0,0.05,0.0,0.29,0.06,0.0
49,4.007606,100.10852,0.0,0.0,0.0,0.0,0.01,0.01,0.15,0.0,0.0
50,4.007606,100.19165,0.02,0.04,0.01,0.0,0.05,0.0,0.57,0.09,0.0
51,4.007606,100.27478,0.0,0.03,0.01,0.0,0.39,0.0,0.17,0.0,0.0
52,4.007606,100.357925,0.0,0.11,0.0,0.0,0.06,0.0,0.04,0.0,0.0
53,4.007606,100.44106,0.0,1.61,0.0,0.05,0.0,0.0,0.03,0.0,0.0
54,4.007606,100.5242,0.0,0.11,0.0,0.15,0.0,0.0,0.0,0.0,0.0
55,4.007606,100.60733,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.007606,100.85674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4.007606,100.93988,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0
60,4.007606,101.02302,0.0,1.35,0.0,0.0,0.0,0.0,0.08,0.02,0.0
61,4.007606,101.10615,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.01,0.0
62,4.007606,101.189285,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
63,4.007606,101.27242,0.03,0.06,0.01,0.0,0.0,0.0,0.01,0.03,0.0
64,4.007606,101.35556,0.01,1.98,0.07,0.0,0.0,0.0,0.0,0.01,0.0
65,4.007606,101.4387,0.0,0.2,0.0,0.0,0.0,0.0,0.01,0.0,0.0
66,4.007606,101.52183,0.01,0.22,0.32,0.0,0.0,0.0,0.0,0.0,0.0
67,4.007606,101.604965,0.0,0.6,0.01,0.0,0.0,0.0,0.0,0.04,0.0
68,4.007606,101.6881,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.66,0.0
69,4.007606,101.77124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0
70,4.007606,101.85438,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
71,4.007606,101.93751,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
72,4.007606,102.020645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4.007606,102.35319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4.007606,102.436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4.007606,102.76887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.007606,102.852005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4.007606,102.93514,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4.007606,103.01828,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,4.007606,103.10142,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4.007606,103.18455,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.0
87,4.007606,103.267685,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0
88,4.007606,103.35082,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.08,0.0
89,4.007606,103.43396,0.04,0.01,0.0,0.02,0.0,0.0,0.3,0.31,0.0
90,4.007606,103.5171,0.0,0.03,0.0,0.01,0.0,0.0,0.16,0.0,0.0
91,4.007606,103.60023,0.02,0.02,0.0,0.0,0.0,0.03,0.2,0.01,0.0
92,4.007606,103.683365,0.14,0.04,0.0,0.0,0.0,0.0,0.01,0.04,0.0
93,4.007606,103.7665,0.04,0.51,0.0,0.0,0.0,0.0,0.0,0.41,0.0
94,4.007606,103.84964,0.1,1.76,0.0,0.0,0.0,0.01,0.02,0.03,0.0
95,4.007606,103.93278,0.04,0.03,0.93,0.01,0.01,0.2,0.0,0.01,0.0
96,4.007606,104.01591,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4.007606,104.099045,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4.007606,104.18218,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,4.007606,104.26532,0.04,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0
100,4.007606,104.34846,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0
101,4.007606,104.43159,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
102,4.007606,104.514725,0.01,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0
103,4.007606,104.59786,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,4.007606,104.681,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
