,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
66,4.007606,101.52183,0.03,0.02,1.3,0.0,0.0,0.0,0.03
67,4.007606,101.604965,0.03,0.21,-0.11,0.0,0.0,0.0,0.0
68,4.007606,101.6881,0.16,0.0,0.28,0.0,0.0,0.0,0.0
69,4.007606,101.77124,0.0,0.0,0.47,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.02,0.0,0.16,0.0,0.0,0.02,0.0
71,4.007606,101.93751,0.0,0.0,0.09,0.0,0.0,0.32,0.0
72,4.007606,102.020645,0.02,0.0,0.4,0.0,0.0,0.13,0.0
73,4.007606,102.10378,0.0,0.0,-0.24,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.0,1.26,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.01,0.0,0.02,0.0,0.0,0.0,0.0
76,4.007606,102.35319,0.03,0.0,0.01,0.0,0.0,0.0,0.0
77,4.007606,102.436325,0.0,0.0,0.09,0.0,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.0,0.35,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.12,0.0,0.0,0.0,0.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4.007606,102.76887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.007606,102.852005,0.0,0.0,0.02,0.0,0.0,0.0,0.0
83,4.007606,102.93514,0.0,0.0,0.01,0.0,0.07,0.0,0.0
84,4.007606,103.01828,0.03,0.0,-0.03,0.0,0.0,0.0,0.01
85,4.007606,103.10142,0.0,0.22,-0.22,0.0,0.0,0.0,0.03
86,4.007606,103.18455,0.0,2.06,-2.0,0.0,0.0,0.0,0.18
87,4.007606,103.267685,0.0,2.11,-0.87,0.0,0.0,0.0,0.0
88,4.007606,103.35082,0.0,1.09,-0.74,0.01,0.0,0.0,0.01
89,4.007606,103.43396,0.0,0.05,-0.04,0.0,0.0,0.0,0.04
90,4.007606,103.5171,0.01,0.0,0.21,0.0,0.0,0.0,0.02
91,4.007606,103.60023,0.04,0.22,0.39,0.0,0.0,0.0,0.05
92,4.007606,103.683365,0.5,0.06,-0.4,0.0,0.0,0.0,0.0
93,4.007606,103.7665,0.39,0.03,-0.37,0.0,0.0,0.01,0.02
94,4.007606,103.84964,0.24,0.02,-0.21,0.0,0.0,0.0,0.14
95,4.007606,103.93278,0.2,0.0,0.07,0.0,0.0,0.0,0.06
96,4.007606,104.01591,0.1,0.0,0.13,0.0,0.0,0.0,0.0
97,4.007606,104.099045,0.05,0.0,-0.02,0.0,0.0,0.0,0.01
98,4.007606,104.18218,0.02,0.0,0.01,0.0,0.0,0.0,0.0
99,4.007606,104.26532,0.02,0.0,0.08,0.02,0.0,0.0,0.0
100,4.007606,104.34846,0.04,0.03,0.16,0.0,0.0,0.0,0.0
101,4.007606,104.43159,0.01,0.02,0.14,0.0,0.0,0.0,0.12
102,4.007606,104.514725,0.0,0.02,0.02,0.0,0.0,0.0,0.09
