,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
75,4.007606,102.27006,0.1,0.0,0.0,0.0,0.0,0.06
76,4.007606,102.35319,0.18,0.0,0.0,0.0,0.0,0.68
77,4.007606,102.436325,0.18,0.0,0.0,0.0,0.0,0.01
78,4.007606,102.51946,0.09,0.0,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.0,0.0,0.0,0.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,0.0,0.0
81,4.007606,102.76887,0.0,0.0,0.0,0.02,0.0,0.0
82,4.007606,102.852005,0.0,0.0,0.0,0.45,0.0,0.0
83,4.007606,102.93514,0.02,0.0,0.0,0.02,0.0,0.0
84,4.007606,103.01828,0.0,0.0,0.0,0.0,0.0,0.0
85,4.007606,103.10142,0.0,0.0,0.0,0.0,0.0,0.0
86,4.007606,103.18455,0.0,0.0,0.0,0.0,0.0,0.0
87,4.007606,103.267685,0.0,0.0,0.0,0.0,0.01,0.0
88,4.007606,103.35082,0.0,0.0,0.01,0.0,0.28,0.0
89,4.007606,103.43396,0.01,0.0,0.01,0.0,0.0,0.0
90,4.007606,103.5171,0.02,0.0,0.06,0.0,0.0,0.27
91,4.007606,103.60023,0.01,0.0,0.0,0.0,0.03,1.82
92,4.007606,103.683365,0.0,0.58,0.03,0.0,0.55,0.23
93,4.007606,103.7665,0.0,0.36,0.0,0.08,0.07,0.0
94,4.007606,103.84964,0.02,0.0,0.1,0.05,0.06,0.12
95,4.007606,103.93278,0.0,0.0,0.08,0.16,0.0,0.05
96,4.007606,104.01591,0.01,0.0,0.0,0.0,0.0,0.17
97,4.007606,104.099045,0.02,0.01,0.03,0.0,0.02,0.12
98,4.007606,104.18218,0.0,0.0,0.15,0.0,0.0,0.0
99,4.007606,104.26532,0.0,0.0,0.0,0.03,0.0,0.37
100,4.007606,104.34846,0.0,0.0,0.01,0.0,0.01,0.0
101,4.007606,104.43159,0.0,0.0,0.0,0.0,0.0,0.08
102,4.007606,104.514725,0.0,0.0,0.01,0.0,0.0,0.0
103,4.007606,104.59786,0.0,0.0,0.01,0.0,0.0,0.0
104,4.007606,104.681,0.0,0.0,0.01,0.0,0.0,0.0
105,4.007606,104.76414,0.0,0.0,0.03,0.0,0.0,0.01
106,4.007606,104.847275,0.0,0.0,0.2,0.01,0.0,0.0
107,4.007606,104.930405,0.0,0.0,0.1,0.0,0.0,0.0
108,4.007606,105.01354,0.0,0.0,0.01,0.0,0.0,0.0
109,4.007606,105.09668,0.01,0.0,0.02,0.0,0.0,0.0
110,4.007606,105.17982,0.0,0.0,0.0,0.0,0.0,0.01
111,4.007606,105.262955,0.0,0.0,0.0,0.0,0.0,0.0
112,4.007606,105.346085,0.0,0.0,0.0,0.0,0.0,0.0
113,4.007606,105.42922,0.03,0.0,0.0,0.0,0.0,0.01
114,4.007606,105.51236,0.03,0.0,0.0,0.0,0.0,0.03
115,4.007606,105.5955,0.04,0.0,0.0,0.0,0.0,0.02
116,4.007606,105.678635,0.08,0.0,0.0,0.0,0.05,0.0
117,4.007606,105.761765,0.05,0.0,0.01,0.03,0.02,0.05
118,4.007606,105.8449,0.0,0.0,0.01,0.0,0.0,0.02
119,4.007606,105.92804,0.0,0.0,0.0,0.0,0.0,0.01
120,4.090523,96.03485,0.53,0.01,0.0,0.0,0.06,0.08
121,4.090523,96.11799,0.07,0.0,0.0,0.0,0.0,0.0
122,4.090523,96.201126,1.26,0.03,0.0,0.0,0.0,0.0
123,4.090523,96.28426,2.62,2.69,0.0,0.0,0.09,0.06
124,4.090523,96.36739,11.51,3.97,0.0,0.03,5.36,0.0
125,4.090523,96.45053,25.77,1.48,0.0,0.46,6.43,0.6
126,4.090523,96.53367,9.92,8.0,0.12,0.31,6.03,13.63
127,4.090523,96.616806,53.01,3.25,5.22,5.12,11.73,41.11
128,4.090523,96.69994,14.36,58.25,13.67,21.7,10.88,46.1
129,4.090523,96.78308,50.6,0.66,11.98,15.64,30.16,96.0
130,4.090523,96.86621,14.29,1.19,0.7,5.46,13.42,22.47
131,4.090523,96.94935,11.3,13.63,0.01,0.22,0.38,8.38
132,4.090523,97.032486,2.2,23.22,0.01,15.2,3.23,1.79
133,4.090523,97.11562,2.22,2.01,0.37,8.45,1.11,8.12
134,4.090523,97.19876,18.65,0.03,0.28,0.19,1.92,28.67
135,4.090523,97.28189,8.42,0.67,1.02,3.49,1.53,3.86
136,4.090523,97.36503,5.9,0.31,0.09,0.24,0.05,2.67
137,4.090523,97.448166,7.98,0.07,0.25,2.31,0.0,0.51
138,4.090523,97.5313,8.26,0.07,1.2,0.23,0.29,5.57
139,4.090523,97.61444,15.19,0.51,3.81,0.18,0.0,1.97
140,4.090523,97.69757,68.41,2.08,1.16,1.85,0.85,0.01
141,4.090523,97.78071,53.82,7.49,9.17,53.4,7.46,2.06
142,4.090523,97.863846,11.27,2.17,0.83,57.59,0.15,0.0
143,4.090523,97.94698,35.12,0.02,0.02,79.22,3.4,0.07
144,4.090523,98.03012,21.25,0.13,0.0,6.5,1.19,3.99
145,4.090523,98.11325,3.54,8.05,0.0,1.81,0.5,0.0
146,4.090523,98.19639,0.2,0.8,0.0,0.02,0.06,0.0
147,4.090523,98.279526,0.06,0.04,0.0,0.0,0.0,0.0
148,4.090523,98.36266,0.64,0.2,0.0,0.0,0.0,0.0
149,4.090523,98.4458,0.28,0.0,0.0,0.01,0.0,0.0
150,4.090523,98.52893,0.12,0.0,0.0,0.0,0.36,0.0
151,4.090523,98.612076,0.34,0.0,0.0,0.0,0.36,0.0
152,4.090523,98.695206,0.2,0.08,0.0,0.0,0.01,0.0
153,4.090523,98.77834,0.01,0.09,0.0,0.0,0.0,0.0
154,4.090523,98.86148,0.0,0.0,0.0,9.48,0.05,0.0
155,4.090523,98.94461,0.0,0.22,0.09,0.31,0.29,0.0
156,4.090523,99.027756,0.08,0.58,0.21,0.73,0.37,0.0
157,4.090523,99.110886,0.01,0.64,0.22,0.73,0.43,0.06
158,4.090523,99.19402,0.06,0.58,0.06,0.07,0.01,0.3
159,4.090523,99.27716,0.48,0.08,0.14,0.01,0.0,0.01
160,4.090523,99.36029,1.13,0.66,0.01,0.06,0.0,0.0
161,4.090523,99.443436,0.5,0.58,0.32,0.14,0.0,0.01
162,4.090523,99.526566,0.13,2.54,0.93,0.03,0.0,0.0
163,4.090523,99.6097,1.09,13.81,0.34,0.94,0.04,0.0
164,4.090523,99.69284,2.97,16.39,0.01,0.01,0.01,0.49
165,4.090523,99.77597,9.74,0.8,0.0,0.0,0.0,3.43
166,4.090523,99.8591,22.52,1.13,0.07,0.0,0.0,0.63
167,4.090523,99.942245,4.61,1.05,0.51,0.0,0.0,0.35
168,4.090523,100.02538,1.52,0.2,0.95,0.0,0.02,0.31
169,4.090523,100.10852,1.25,0.43,0.15,0.0,0.0,0.83
170,4.090523,100.19165,2.63,10.03,0.61,0.0,0.0,1.1
171,4.090523,100.27478,1.76,1.67,0.43,0.0,0.04,0.02
172,4.090523,100.357925,1.23,5.55,0.38,0.0,0.76,0.0
173,4.090523,100.44106,1.42,0.04,0.01,0.0,0.04,0.01
174,4.090523,100.5242,0.88,11.27,0.0,0.0,0.0,0.71
175,4.090523,100.60733,3.06,0.06,0.0,0.0,0.0,1.89
176,4.090523,100.69046,10.44,0.0,0.0,0.0,0.0,6.41
177,4.090523,100.773605,98.08,0.0,0.0,0.0,0.0,6.31
178,4.090523,100.85674,32.15,0.0,0.0,0.0,0.0,3.3
179,4.090523,100.93988,23.51,1.94,0.0,0.0,0.0,4.33
180,4.090523,101.02302,28.79,0.05,0.0,0.0,0.0,3.32
181,4.090523,101.10615,40.28,0.0,0.0,0.0,0.0,9.41
182,4.090523,101.189285,10.69,0.0,0.08,0.0,0.0,3.16
183,4.090523,101.27242,3.87,0.2,10.97,1.05,0.01,5.27
184,4.090523,101.35556,8.99,0.01,29.34,34.61,0.0,8.81
185,4.090523,101.4387,8.27,2.25,2.29,41.53,0.31,5.37
186,4.090523,101.52183,26.52,0.04,0.62,4.12,16.41,4.96
187,4.090523,101.604965,53.95,0.0,0.0,0.08,8.01,0.0
188,4.090523,101.6881,3.38,0.0,0.0,0.0,0.08,0.0
189,4.090523,101.77124,0.04,0.0,0.0,0.57,0.0,0.0
190,4.090523,101.85438,0.0,0.0,0.0,0.65,0.0,0.0
191,4.090523,101.93751,0.0,0.0,0.0,0.37,0.0,0.0
192,4.090523,102.020645,0.0,0.0,0.0,0.03,0.0,0.0
193,4.090523,102.10378,0.0,0.03,0.0,0.0,0.02,0.0
194,4.090523,102.18692,0.1,0.01,0.0,0.0,0.03,0.01
195,4.090523,102.27006,0.11,0.02,0.0,0.0,0.0,1.16
196,4.090523,102.35319,0.25,0.0,0.0,0.0,0.0,19.87
197,4.090523,102.436325,1.46,0.0,0.0,0.0,0.0,0.08
198,4.090523,102.51946,2.21,0.0,0.0,0.0,0.0,0.0
199,4.090523,102.6026,0.2,0.01,0.0,0.0,0.0,0.0
200,4.090523,102.68574,1.27,0.0,0.0,0.0,0.0,0.0
201,4.090523,102.76887,0.32,0.0,0.0,0.98,0.0,0.0
202,4.090523,102.852005,0.09,0.0,0.0,14.43,3.24,0.0
203,4.090523,102.93514,4.72,0.0,0.01,2.23,0.0,0.0
204,4.090523,103.01828,6.69,0.0,0.15,0.03,0.05,0.0
205,4.090523,103.10142,0.96,0.0,0.27,0.03,0.02,0.0
206,4.090523,103.18455,0.97,0.01,0.11,0.01,0.0,0.0
207,4.090523,103.267685,1.05,0.0,0.11,0.02,0.21,0.0
208,4.090523,103.35082,0.61,0.0,0.31,0.03,4.13,0.0
209,4.090523,103.43396,0.66,0.0,0.3,0.07,0.09,0.04
210,4.090523,103.5171,2.46,0.01,1.76,0.0,0.02,0.26
211,4.090523,103.60023,1.45,0.0,0.17,0.19,0.36,3.31
212,4.090523,103.683365,0.76,0.58,0.82,0.08,7.67,1.56
213,4.090523,103.7665,0.61,0.64,0.74,9.53,1.88,0.2
214,4.090523,103.84964,1.08,0.01,4.83,6.99,2.13,2.01
215,4.090523,103.93278,0.6,0.01,4.09,11.68,0.08,1.35
216,4.090523,104.01591,3.22,0.04,0.53,0.67,0.24,3.03
217,4.090523,104.099045,0.98,0.65,1.02,0.01,0.97,1.74
218,4.090523,104.18218,0.16,0.02,8.22,0.03,0.11,0.06
219,4.090523,104.26532,0.67,0.04,0.4,1.62,0.03,0.23
220,4.090523,104.34846,0.61,0.0,0.62,0.21,0.8,0.05
221,4.090523,104.43159,0.28,0.0,0.07,0.08,0.2,1.08
222,4.090523,104.514725,0.12,0.0,0.3,0.01,0.0,0.01
223,4.090523,104.59786,0.07,0.0,0.29,0.03,0.05,0.03
224,4.090523,104.681,0.13,0.0,0.35,0.0,0.24,0.02
225,4.090523,104.76414,0.02,0.0,1.13,0.07,0.0,0.38
226,4.090523,104.847275,0.12,0.0,5.6,1.95,0.01,0.07
