,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.01,0.39,0.0,0.33,0.21,0.0
5,4.007606,96.45053,0.0,0.0,0.0,0.0,2.08,0.0,1.77,0.44,0.0
6,4.007606,96.53367,0.01,0.03,0.0,0.0,0.02,0.0,1.4,1.75,0.0
7,4.007606,96.616806,0.23,0.79,0.0,0.0,0.01,0.0,0.92,6.01,0.0
8,4.007606,96.69994,0.03,0.08,0.06,0.0,0.69,0.0,0.69,4.19,0.06
9,4.007606,96.78308,0.01,0.27,0.26,0.28,0.71,0.0,0.08,3.49,0.2
10,4.007606,96.86621,0.0,0.35,0.04,0.52,1.51,0.0,0.0,0.62,0.01
11,4.007606,96.94935,0.02,0.59,0.0,0.61,3.85,0.02,0.0,0.07,0.0
12,4.007606,97.032486,0.05,0.29,0.02,0.03,3.11,0.03,0.08,0.11,0.06
13,4.007606,97.11562,0.12,0.34,0.0,0.0,1.77,0.19,0.48,0.0,0.0
14,4.007606,97.19876,0.14,0.0,0.0,0.0,0.39,0.27,0.23,0.0,0.0
15,4.007606,97.28189,0.0,0.0,0.0,0.0,0.51,0.08,0.0,0.09,0.0
16,4.007606,97.36503,0.01,0.0,0.0,0.0,0.27,0.03,0.0,0.02,0.0
17,4.007606,97.448166,0.02,0.0,0.0,0.0,0.14,0.02,0.01,0.05,0.03
18,4.007606,97.5313,0.46,0.05,0.0,0.05,0.09,0.02,0.02,0.32,0.03
19,4.007606,97.61444,0.01,0.17,0.0,0.56,0.1,0.0,0.0,0.37,0.1
20,4.007606,97.69757,0.29,0.32,0.01,1.86,0.0,0.0,0.18,0.24,0.01
21,4.007606,97.78071,0.06,0.95,0.08,0.0,0.38,0.0,0.03,0.36,0.12
22,4.007606,97.863846,0.48,0.49,0.1,0.03,0.36,0.0,0.02,0.43,0.61
23,4.007606,97.94698,0.0,0.07,0.27,0.17,0.0,0.0,0.01,0.64,0.07
24,4.007606,98.03012,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.45,0.0
