,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
60,4.007606,101.02302,0.0,0.0,0.0,0.0,0.0,3.57,0.11,2.04
61,4.007606,101.10615,0.25,0.0,0.0,0.0,0.0,2.82,0.64,1.5
62,4.007606,101.189285,4.85,0.0,0.0,0.0,0.0,0.51,0.04,0.05
63,4.007606,101.27242,2.26,0.3,0.0,0.0,0.0,0.0,0.0,0.06
64,4.007606,101.35556,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07
65,4.007606,101.4387,0.24,0.05,0.0,0.01,0.0,0.0,0.0,0.01
66,4.007606,101.52183,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01
67,4.007606,101.604965,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.04
68,4.007606,101.6881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
69,4.007606,101.77124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
70,4.007606,101.85438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
71,4.007606,101.93751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
76,4.007606,102.35319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
77,4.007606,102.436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
78,4.007606,102.51946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51
79,4.007606,102.6026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
81,4.007606,102.76887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
82,4.007606,102.852005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
83,4.007606,102.93514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4.007606,103.01828,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0
85,4.007606,103.10142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4.007606,103.18455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,4.007606,103.267685,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0
88,4.007606,103.35082,0.03,0.0,0.0,0.01,0.0,0.08,0.03,0.0
89,4.007606,103.43396,0.01,0.0,0.07,0.0,0.02,0.97,0.2,0.01
90,4.007606,103.5171,0.02,0.0,0.0,0.03,0.0,0.3,0.17,0.14
91,4.007606,103.60023,0.0,0.0,0.0,0.05,0.01,0.12,0.21,0.71
92,4.007606,103.683365,0.02,0.0,0.0,0.01,0.0,0.04,0.06,0.62
93,4.007606,103.7665,0.0,0.0,0.0,0.06,0.0,0.01,0.02,3.18
94,4.007606,103.84964,0.0,0.0,0.0,0.04,0.0,0.13,0.15,3.44
95,4.007606,103.93278,0.0,0.01,0.0,0.01,0.0,0.0,0.01,2.82
96,4.007606,104.01591,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.79
97,4.007606,104.099045,0.01,0.63,0.0,0.0,0.0,0.0,0.05,0.79
98,4.007606,104.18218,0.0,0.01,0.01,0.0,0.01,0.01,0.04,0.7
99,4.007606,104.26532,0.0,0.01,0.01,0.01,0.06,0.0,0.08,0.89
100,4.007606,104.34846,0.0,0.0,0.0,0.0,0.03,0.05,0.01,0.82
