,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024
0,4.007606,96.03485,0.03,0.0,0.0,0.04,0.52,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.02,0.0
5,4.007606,96.45053,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.71,0.0
6,4.007606,96.53367,0.01,0.0,0.0,0.0,0.34,0.0,0.07,1.96,0.01
7,4.007606,96.616806,0.04,0.0,0.0,0.01,0.53,0.06,0.18,3.43,0.38
8,4.007606,96.69994,0.01,0.21,0.16,0.02,0.96,0.04,0.95,7.35,0.02
9,4.007606,96.78308,0.29,0.2,0.0,0.07,0.64,0.01,0.05,8.03,0.05
10,4.007606,96.86621,0.12,0.01,0.0,0.12,0.19,0.01,0.0,5.86,0.06
11,4.007606,96.94935,1.27,0.01,0.54,0.0,0.18,0.18,0.0,4.34,0.01
12,4.007606,97.032486,0.96,0.02,0.0,0.04,0.12,0.02,0.11,1.0,0.06
13,4.007606,97.11562,0.45,0.0,0.0,0.09,0.21,0.05,0.59,0.05,0.18
14,4.007606,97.19876,0.01,0.0,0.0,0.0,0.01,0.2,0.18,0.03,0.11
15,4.007606,97.28189,0.07,0.03,0.02,0.0,0.0,0.07,0.04,0.01,0.03
16,4.007606,97.36503,0.33,0.03,0.07,0.0,0.0,0.0,0.15,0.01,0.01
17,4.007606,97.448166,0.02,0.0,0.07,0.0,0.01,0.0,0.03,0.02,0.0
18,4.007606,97.5313,0.07,0.01,0.39,0.01,0.49,0.0,0.0,0.55,0.03
19,4.007606,97.61444,0.76,0.0,0.09,0.19,0.42,0.07,0.09,0.02,0.3
20,4.007606,97.69757,3.49,0.05,0.03,0.27,0.19,0.02,0.01,0.01,0.05
21,4.007606,97.78071,1.67,0.03,0.13,0.34,1.08,0.0,0.0,0.0,0.04
22,4.007606,97.863846,3.35,0.01,0.0,0.63,0.02,0.04,0.0,0.0,0.0
23,4.007606,97.94698,0.41,0.02,0.0,0.03,0.08,0.02,0.0,0.0,0.05
24,4.007606,98.03012,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
25,4.007606,98.11325,0.0,0.01,0.25,0.0,0.02,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0
30,4.007606,98.52893,0.01,0.06,0.0,0.0,0.0,0.0,0.09,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0
34,4.007606,98.86148,0.09,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.0
35,4.007606,98.94461,0.0,0.0,0.52,0.01,0.1,0.03,0.29,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.7,0.07,0.02,0.03,1.15,0.0,0.0
37,4.007606,99.110886,0.0,0.12,0.08,0.02,0.03,0.0,0.04,0.11,0.0
38,4.007606,99.19402,0.01,0.0,0.0,0.04,0.09,0.01,0.01,0.61,0.07
39,4.007606,99.27716,0.08,0.0,0.0,0.02,0.17,0.09,0.0,1.12,0.05
40,4.007606,99.36029,0.0,0.0,0.0,0.0,0.01,0.01,0.07,1.13,0.03
41,4.007606,99.443436,0.16,0.0,0.0,0.0,0.0,0.03,0.46,0.2,0.0
42,4.007606,99.526566,0.14,0.06,0.0,0.0,0.0,0.07,0.05,0.07,0.0
43,4.007606,99.6097,2.54,0.04,0.0,0.0,0.0,0.0,0.06,0.01,0.0
44,4.007606,99.69284,2.39,0.0,0.01,0.05,0.0,0.0,0.01,0.0,0.0
45,4.007606,99.77597,1.22,0.01,0.04,0.04,0.0,0.0,0.03,0.0,0.0
46,4.007606,99.8591,0.06,0.01,0.0,0.23,0.01,0.0,0.0,0.03,0.0
47,4.007606,99.942245,0.32,0.04,0.01,0.01,0.0,0.0,0.0,0.04,0.0
48,4.007606,100.02538,0.22,0.26,0.01,0.0,0.01,0.01,0.0,0.0,0.0
49,4.007606,100.10852,0.14,0.01,0.0,0.01,0.11,0.01,0.0,0.04,0.0
50,4.007606,100.19165,0.47,0.0,0.0,0.0,2.09,0.01,0.09,0.0,0.0
51,4.007606,100.27478,1.4,0.0,0.01,0.07,2.21,0.01,0.0,0.0,0.0
52,4.007606,100.357925,0.09,0.0,0.01,0.0,0.27,0.04,0.0,0.0,0.0
53,4.007606,100.44106,0.3,0.08,0.01,0.0,0.07,0.06,0.0,0.0,0.0
54,4.007606,100.5242,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
55,4.007606,100.60733,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
57,4.007606,100.773605,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0
58,4.007606,100.85674,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4.007606,100.93988,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4.007606,101.02302,1.01,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0
61,4.007606,101.10615,3.9,0.0,0.0,0.0,0.0,0.01,0.51,0.0,0.0
62,4.007606,101.189285,1.54,0.01,0.0,0.0,0.0,0.04,0.58,0.0,0.0
63,4.007606,101.27242,0.02,0.0,0.0,0.0,0.0,0.75,0.02,0.02,0.0
64,4.007606,101.35556,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0
65,4.007606,101.4387,0.01,0.0,0.0,0.0,0.0,0.24,0.05,0.06,0.0
