,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
3,4.007606,96.28426,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.08,0.0
4,4.007606,96.36739,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.77,0.0
5,4.007606,96.45053,0.07,2.73,0.0,0.0,0.0,0.0,0.0,1.87,0.0
6,4.007606,96.53367,0.06,1.06,0.0,0.0,0.0,0.0,0.0,4.36,0.0
7,4.007606,96.616806,0.05,3.94,0.03,0.03,0.0,0.01,0.0,3.78,0.0
8,4.007606,96.69994,0.03,3.41,0.04,0.0,0.0,0.11,0.0,1.45,0.66
9,4.007606,96.78308,0.19,0.53,0.29,0.0,0.01,0.48,0.0,0.19,5.17
10,4.007606,96.86621,0.12,0.1,0.09,0.0,0.03,0.53,0.0,0.0,2.54
11,4.007606,96.94935,0.73,0.03,0.2,0.0,0.0,0.03,0.0,0.01,2.0
12,4.007606,97.032486,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.05,1.47
13,4.007606,97.11562,1.65,0.09,0.0,0.0,0.0,0.07,0.0,0.0,1.4
14,4.007606,97.19876,0.78,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.34
15,4.007606,97.28189,0.64,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.24
16,4.007606,97.36503,0.16,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
17,4.007606,97.448166,0.03,0.01,0.0,0.01,0.07,0.01,0.0,0.02,0.04
18,4.007606,97.5313,0.05,0.01,0.05,0.01,0.22,0.11,0.0,0.69,0.39
19,4.007606,97.61444,0.29,0.26,0.1,0.39,1.08,0.05,0.06,0.08,0.0
20,4.007606,97.69757,0.34,0.11,0.0,0.3,1.85,0.17,0.01,0.04,0.0
21,4.007606,97.78071,0.11,0.28,0.0,0.38,0.68,0.92,0.0,0.0,0.0
22,4.007606,97.863846,0.07,3.15,0.0,0.2,0.36,0.0,0.0,0.0,0.0
23,4.007606,97.94698,0.01,4.18,0.0,0.0,0.18,0.0,0.0,0.0,0.26
24,4.007606,98.03012,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.05,0.01
