,lat,lon,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.0,0.0,0.0,0.0,3.52,0.01,0.0,0.0,0.0
6,4.007606,96.53367,0.0,0.0,0.01,0.0,3.3,0.06,0.02,0.0,0.04
7,4.007606,96.616806,0.0,0.02,0.97,0.0,2.95,0.13,0.0,0.02,0.04
8,4.007606,96.69994,0.01,0.0,0.42,0.0,3.99,0.0,0.0,0.33,1.75
9,4.007606,96.78308,0.01,0.0,1.56,0.0,6.38,0.0,0.0,2.15,4.17
10,4.007606,96.86621,0.01,0.01,0.47,0.0,5.78,0.0,0.0,0.91,1.6
11,4.007606,96.94935,0.08,0.0,0.63,0.0,5.63,0.0,0.0,0.08,2.19
12,4.007606,97.032486,0.25,0.0,0.22,0.0,5.21,0.01,0.0,0.04,7.8
13,4.007606,97.11562,0.67,0.01,0.02,0.0,3.26,0.11,0.0,1.28,14.28
14,4.007606,97.19876,0.22,0.01,0.04,0.0,2.99,0.03,0.0,0.36,14.1
15,4.007606,97.28189,0.0,0.01,0.11,0.01,1.93,0.0,0.0,0.28,12.25
16,4.007606,97.36503,0.0,0.0,0.0,0.02,0.11,0.0,0.0,0.86,2.92
17,4.007606,97.448166,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.92,0.45
18,4.007606,97.5313,0.05,0.0,0.05,0.06,0.07,0.01,0.0,0.29,1.31
19,4.007606,97.61444,0.13,0.11,0.01,0.1,0.14,0.0,0.0,0.26,0.42
20,4.007606,97.69757,0.02,0.01,0.03,0.26,0.03,0.23,0.0,0.03,0.72
21,4.007606,97.78071,0.0,0.0,0.26,0.3,0.23,0.07,0.0,0.0,0.87
22,4.007606,97.863846,0.0,0.06,0.23,0.16,0.15,0.0,0.0,0.0,0.83
23,4.007606,97.94698,0.0,0.35,0.05,0.08,0.0,0.0,0.0,0.0,0.22
24,4.007606,98.03012,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0
25,4.007606,98.11325,0.0,0.07,0.07,0.39,0.0,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.0,0.42,0.65,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.86,0.68,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.99,0.51,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.89,0.28,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.78,0.14,0.0,0.0,0.0,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.72,0.09,0.0,0.0,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.72,0.11,0.07,0.0,0.0,0.0,0.01
33,4.007606,98.77834,0.0,0.0,0.81,0.18,0.0,0.0,0.0,0.0,0.02
