,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
50,4.007606,100.19165,0.0,0.01,0.0,0.0,0.01,1.23,0.0,0.0,0.0,0.13
51,4.007606,100.27478,0.08,0.0,0.0,0.0,0.06,2.42,0.0,0.0,0.0,0.91
52,4.007606,100.357925,0.01,0.0,0.0,0.0,0.01,10.21,0.0,0.0,0.0,0.03
53,4.007606,100.44106,0.0,0.0,0.0,0.0,0.09,15.37,0.0,0.0,0.0,1.03
54,4.007606,100.5242,0.0,0.0,0.0,0.0,1.27,11.16,0.0,0.0,0.0,1.86
55,4.007606,100.60733,0.0,0.0,0.0,0.0,3.05,6.45,0.1,0.0,0.0,0.04
56,4.007606,100.69046,0.01,0.0,0.0,0.0,0.42,3.56,0.39,0.0,0.0,0.0
57,4.007606,100.773605,0.21,0.0,0.0,0.0,0.5,2.85,0.56,0.0,0.0,0.0
58,4.007606,100.85674,0.5,0.0,0.0,0.02,0.45,3.06,0.43,0.0,0.0,0.0
59,4.007606,100.93988,0.65,0.0,0.0,0.0,0.53,4.45,0.48,0.0,0.0,0.0
60,4.007606,101.02302,1.15,0.0,0.0,0.04,0.54,5.22,2.23,0.0,0.0,0.03
61,4.007606,101.10615,5.45,0.0,0.0,0.0,2.85,5.85,4.57,0.0,0.0,0.02
62,4.007606,101.189285,5.0,0.0,0.0,0.0,6.91,6.6,2.81,0.0,0.0,0.0
63,4.007606,101.27242,1.09,0.0,0.05,0.0,0.4,2.02,1.23,0.0,0.0,0.0
64,4.007606,101.35556,0.31,0.0,0.81,0.0,0.41,1.04,0.3,0.0,0.0,0.0
65,4.007606,101.4387,0.04,0.0,0.11,0.0,0.93,1.05,0.13,0.0,0.04,0.0
66,4.007606,101.52183,0.0,0.01,0.0,0.0,0.16,1.13,0.49,0.02,0.96,0.01
67,4.007606,101.604965,0.0,0.0,0.02,0.03,0.0,2.69,0.44,0.0,0.1,0.0
68,4.007606,101.6881,0.0,0.0,0.0,0.0,0.0,2.01,0.03,0.0,0.0,0.0
69,4.007606,101.77124,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0
71,4.007606,101.93751,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.0,0.0,0.0,0.0,1.4,0.01,0.0,0.0,0.0
73,4.007606,102.10378,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.0,0.0,0.04,0.0,0.49,0.3,0.0,0.0,0.0
75,4.007606,102.27006,0.0,0.0,0.0,0.01,0.0,1.99,0.13,0.0,0.0,0.0
76,4.007606,102.35319,0.0,0.0,0.0,0.0,0.0,0.66,0.08,0.0,0.0,0.0
77,4.007606,102.436325,0.0,0.0,0.0,0.0,0.16,1.05,0.52,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.0,0.0,0.0,0.0,5.85,1.63,0.01,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.0,0.0,0.02,20.38,2.33,0.0,0.0,0.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,1.75,14.12,2.63,0.0,0.0,0.0
81,4.007606,102.76887,0.0,0.0,0.0,0.0,4.32,2.9,0.44,0.0,0.0,0.0
82,4.007606,102.852005,0.0,0.0,0.0,0.52,0.11,1.19,0.01,0.0,0.0,0.0
83,4.007606,102.93514,0.0,0.0,0.0,0.36,0.42,4.2,0.0,0.0,0.0,0.0
84,4.007606,103.01828,0.0,0.0,0.0,0.69,0.07,0.09,0.04,0.0,0.0,0.0
85,4.007606,103.10142,0.0,0.0,0.0,2.85,0.0,0.74,0.87,0.0,0.0,0.0
86,4.007606,103.18455,0.0,0.0,0.0,0.58,0.0,1.04,2.35,0.0,0.0,0.0
87,4.007606,103.267685,0.0,0.0,0.0,0.01,0.06,2.7,1.99,0.0,0.0,0.0
88,4.007606,103.35082,0.0,0.02,0.0,0.0,0.34,4.6,1.41,0.01,0.0,0.0
89,4.007606,103.43396,0.0,0.0,0.0,0.0,1.2,4.44,0.32,0.03,0.0,0.0
90,4.007606,103.5171,0.0,0.0,0.0,0.0,3.86,4.37,0.22,0.08,0.0,0.0
91,4.007606,103.60023,0.0,0.0,0.0,0.0,9.53,2.97,0.39,0.43,0.0,0.0
92,4.007606,103.683365,0.0,0.0,0.13,0.0,14.71,1.68,0.27,2.24,0.0,0.0
93,4.007606,103.7665,0.0,0.0,0.0,0.0,14.97,2.33,0.14,5.91,0.0,0.0
94,4.007606,103.84964,0.0,0.0,0.0,0.01,14.37,4.91,0.22,1.62,0.17,0.0
95,4.007606,103.93278,0.0,0.0,0.0,0.0,18.26,2.13,1.51,1.29,0.0,0.0
96,4.007606,104.01591,0.0,0.0,0.0,0.0,7.52,0.23,1.97,2.26,0.44,0.0
97,4.007606,104.099045,0.0,0.0,0.0,0.0,2.4,0.1,0.2,0.67,0.67,0.0
98,4.007606,104.18218,0.0,0.06,0.0,0.0,1.02,0.07,0.08,0.05,0.47,0.0
99,4.007606,104.26532,0.0,0.0,0.0,0.0,0.67,0.06,0.08,0.05,0.07,0.0
100,4.007606,104.34846,0.0,0.0,0.0,0.0,1.8,0.09,0.38,0.0,0.0,0.0
101,4.007606,104.43159,0.0,0.0,0.0,0.0,0.31,0.22,0.85,0.0,0.0,0.0
102,4.007606,104.514725,0.0,0.0,0.0,0.0,0.33,0.34,0.82,0.0,0.0,0.0
103,4.007606,104.59786,0.0,0.0,0.0,0.01,0.29,0.42,0.59,0.0,0.0,0.0
104,4.007606,104.681,0.0,0.0,0.0,0.0,1.88,0.34,0.3,0.0,0.15,0.0
105,4.007606,104.76414,0.0,0.0,0.01,0.0,1.19,0.13,0.21,0.0,0.05,0.0
106,4.007606,104.847275,0.03,0.0,0.0,0.0,2.26,0.15,0.08,0.0,0.08,0.0
107,4.007606,104.930405,0.03,0.0,0.01,0.04,0.14,0.7,0.1,0.0,1.18,0.0
108,4.007606,105.01354,0.0,0.0,0.0,0.0,0.17,1.06,0.19,0.0,0.65,0.0
109,4.007606,105.09668,0.01,0.0,0.0,0.03,0.04,0.55,0.67,0.0,0.0,0.0
110,4.007606,105.17982,0.04,0.0,0.06,0.02,0.32,0.34,1.23,0.0,0.0,0.0
111,4.007606,105.262955,0.06,0.0,0.02,0.05,0.01,0.23,0.5,0.0,0.0,0.0
112,4.007606,105.346085,0.02,0.0,0.0,0.0,0.0,0.25,0.43,0.0,0.03,0.0
113,4.007606,105.42922,0.0,0.01,0.0,0.0,0.01,0.06,1.2,0.0,0.0,0.0
114,4.007606,105.51236,0.06,0.2,0.0,0.06,0.0,0.0,0.64,0.0,0.0,0.01
115,4.007606,105.5955,0.52,0.59,0.0,0.0,0.02,0.02,0.13,0.0,0.0,0.0
116,4.007606,105.678635,1.08,0.89,0.0,0.13,0.0,0.03,0.09,0.0,0.0,0.0
117,4.007606,105.761765,1.78,0.33,0.01,0.02,0.0,0.02,0.1,0.0,0.0,0.0
118,4.007606,105.8449,0.01,0.91,0.0,0.01,0.01,0.04,0.1,0.0,0.0,0.0
119,4.007606,105.92804,0.0,3.1,0.02,0.02,0.04,0.04,0.07,0.0,0.0,0.0
120,4.090523,96.03485,2.51,2.08,0.0,0.0,3.24,0.0,0.01,0.78,0.86,0.42
121,4.090523,96.11799,0.23,0.59,0.0,0.57,4.76,0.17,0.09,0.32,0.1,0.0
