,lat,lon,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
0,4.007606,96.03485,0.27,0.02,0.0,0.17,0.0,0.0,0.0,0.01,0.0
1,4.007606,96.11799,0.15,0.0,0.0,2.14,0.01,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.14,0.0,0.01,2.42,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.19,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.25,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.007606,96.53367,0.29,0.55,0.0,0.0,0.0,0.0,0.0,0.03,0.12
7,4.007606,96.616806,0.23,0.42,0.26,0.1,0.0,0.0,0.0,0.0,0.73
8,4.007606,96.69994,0.25,0.11,0.0,0.72,0.01,0.0,0.0,0.01,0.13
9,4.007606,96.78308,0.53,0.03,0.04,0.75,0.0,0.0,0.0,0.04,0.02
10,4.007606,96.86621,2.33,0.01,0.0,0.63,0.0,0.05,0.0,0.03,0.02
11,4.007606,96.94935,0.93,0.01,0.39,0.04,0.0,0.0,0.0,0.01,0.04
12,4.007606,97.032486,0.63,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0
13,4.007606,97.11562,0.51,0.32,0.05,0.03,0.01,0.0,0.0,0.0,0.01
14,4.007606,97.19876,0.67,0.43,0.57,0.01,0.0,0.0,0.0,0.0,0.03
15,4.007606,97.28189,0.62,0.26,0.23,0.19,0.0,0.0,0.0,0.0,0.0
16,4.007606,97.36503,0.21,0.42,0.03,0.03,0.01,0.0,0.0,0.0,0.0
17,4.007606,97.448166,0.89,0.36,0.08,0.03,0.08,0.0,0.0,0.01,0.0
18,4.007606,97.5313,0.72,0.44,0.18,0.0,0.08,0.0,0.0,0.47,0.0
19,4.007606,97.61444,0.21,0.01,0.61,0.04,0.01,0.0,0.09,0.0,0.0
20,4.007606,97.69757,0.27,0.03,0.01,1.03,0.22,0.08,0.49,0.02,0.0
21,4.007606,97.78071,0.37,0.0,0.15,3.18,0.02,0.02,1.02,0.0,0.0
22,4.007606,97.863846,0.25,0.0,0.02,3.23,0.0,0.0,0.05,0.0,0.0
23,4.007606,97.94698,0.02,0.0,0.01,3.93,0.03,0.0,0.23,0.0,0.0
24,4.007606,98.03012,0.0,0.0,0.0,1.41,0.16,0.0,0.0,0.0,0.0
25,4.007606,98.11325,0.01,0.0,0.0,0.2,0.14,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.07,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.41,0.0,0.0,0.0,0.01,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0
34,4.007606,98.86148,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
35,4.007606,98.94461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.03,0.01
37,4.007606,99.110886,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04
38,4.007606,99.19402,0.0,0.0,0.0,0.07,0.02,0.03,0.0,0.0,0.0
39,4.007606,99.27716,0.04,0.0,0.01,0.23,0.04,0.01,0.0,0.02,0.0
