,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.02,1.09,0.0,0.02,0.0,0.0
3,4.007606,96.28426,0.04,0.0,0.0,0.0,0.01,0.01,0.0,0.04,0.08,0.0
4,4.007606,96.36739,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.84,0.0
5,4.007606,96.45053,0.07,0.09,0.0,0.0,0.03,0.0,0.0,0.14,0.25,0.0
6,4.007606,96.53367,0.1,0.42,0.0,0.0,0.04,0.01,0.0,0.44,0.09,0.03
7,4.007606,96.616806,0.82,2.03,0.07,0.0,0.03,0.07,0.0,1.1,0.16,0.35
8,4.007606,96.69994,0.01,1.42,0.01,0.0,0.01,0.22,0.0,0.78,1.19,0.01
9,4.007606,96.78308,0.04,0.11,0.03,0.11,0.13,0.17,0.0,0.72,1.15,0.02
10,4.007606,96.86621,0.0,0.03,0.12,0.0,0.0,0.39,0.01,0.72,0.05,0.24
11,4.007606,96.94935,0.0,0.23,0.8,0.0,0.52,0.66,0.0,0.51,0.0,0.21
12,4.007606,97.032486,0.02,0.28,0.01,0.0,0.01,0.0,0.0,0.44,0.02,0.22
13,4.007606,97.11562,1.18,0.07,0.0,0.0,0.0,0.01,0.0,0.25,0.02,0.02
14,4.007606,97.19876,0.01,0.74,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0
15,4.007606,97.28189,0.05,1.13,0.03,0.0,0.0,0.02,0.0,0.02,0.0,0.0
16,4.007606,97.36503,0.05,1.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
