,lat,lon,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
0,4.007606,96.03485,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.05,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.65,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.04
3,4.007606,96.28426,1.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04
4,4.007606,96.36739,0.62,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.31,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.0
6,4.007606,96.53367,0.38,0.08,0.28,0.21,0.0,0.0,0.0,0.0,0.0
7,4.007606,96.616806,0.45,0.86,0.29,1.19,0.02,0.02,0.0,0.0,0.03
8,4.007606,96.69994,1.92,1.2,0.35,1.17,0.0,0.1,0.01,0.01,0.0
9,4.007606,96.78308,2.99,1.38,0.14,0.19,0.02,0.03,0.02,0.26,0.0
10,4.007606,96.86621,4.36,2.02,0.05,0.01,1.23,0.0,0.0,0.02,0.01
11,4.007606,96.94935,5.98,2.39,0.02,0.02,0.0,0.0,0.0,0.01,0.0
12,4.007606,97.032486,5.68,2.22,0.02,0.22,0.0,0.0,0.0,0.0,0.02
13,4.007606,97.11562,5.34,2.55,0.09,0.57,0.0,0.0,0.0,1.34,0.1
14,4.007606,97.19876,8.36,3.62,0.22,0.75,0.04,0.0,0.0,0.49,0.14
15,4.007606,97.28189,5.64,4.55,1.49,1.3,0.0,0.03,0.0,0.0,0.16
16,4.007606,97.36503,0.73,0.3,0.95,1.2,0.0,0.02,0.0,0.0,0.01
17,4.007606,97.448166,0.06,0.27,0.6,0.58,0.0,0.0,0.02,0.0,0.0
18,4.007606,97.5313,0.32,0.93,0.69,0.35,0.02,0.0,0.99,0.0,0.0
19,4.007606,97.61444,0.57,0.15,0.38,1.08,0.0,0.0,0.03,0.02,0.0
20,4.007606,97.69757,0.25,0.04,0.35,2.86,0.0,0.1,0.1,0.02,0.0
21,4.007606,97.78071,0.14,0.04,0.44,3.98,0.17,0.0,0.39,0.0,0.0
22,4.007606,97.863846,0.26,0.01,0.22,5.22,0.12,0.0,0.37,0.0,0.0
23,4.007606,97.94698,0.04,0.0,0.03,1.3,0.0,0.0,0.14,0.0,0.0
24,4.007606,98.03012,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0
25,4.007606,98.11325,0.01,0.0,0.08,0.42,0.0,0.01,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.0,0.07,0.38,0.0,0.84,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.04,0.01,0.0,0.03,0.18,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
31,4.007606,98.612076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
33,4.007606,98.77834,0.0,0.0,0.01,0.06,0.01,0.0,0.0,0.0,0.0
34,4.007606,98.86148,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
35,4.007606,98.94461,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
37,4.007606,99.110886,0.03,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.75
38,4.007606,99.19402,0.0,0.0,0.0,0.0,0.65,0.04,0.0,0.0,0.83
39,4.007606,99.27716,0.0,0.0,0.02,0.15,0.01,0.12,0.2,0.0,1.06
40,4.007606,99.36029,0.0,0.0,0.0,1.0,0.03,0.01,0.03,0.01,0.1
41,4.007606,99.443436,0.0,0.0,0.09,4.56,1.19,0.0,0.0,0.0,0.03
42,4.007606,99.526566,0.0,0.0,0.0,0.72,4.37,0.05,0.0,0.0,0.01
43,4.007606,99.6097,0.01,0.0,0.0,2.69,0.7,0.03,0.0,0.02,0.03
44,4.007606,99.69284,0.01,0.0,0.01,1.88,2.8,0.0,0.0,0.05,0.08
45,4.007606,99.77597,0.0,0.0,0.11,1.39,1.24,0.0,0.0,0.0,0.03
46,4.007606,99.8591,0.0,0.0,0.03,2.14,2.01,0.0,0.0,0.0,0.03
47,4.007606,99.942245,0.0,0.0,0.0,0.13,0.16,0.0,0.0,0.0,0.0
48,4.007606,100.02538,0.0,0.0,0.01,0.18,0.05,0.0,0.0,0.0,0.02
49,4.007606,100.10852,0.0,0.0,0.01,3.71,0.0,0.01,0.0,0.0,0.02
50,4.007606,100.19165,0.0,0.0,0.01,3.09,0.0,0.04,0.0,0.0,0.04
51,4.007606,100.27478,0.07,0.01,0.04,3.01,0.05,0.04,0.0,0.0,0.01
52,4.007606,100.357925,0.0,0.0,0.45,13.05,0.06,0.0,0.0,0.0,0.26
