,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.02,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.27,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1.76,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.0,0.0,0.0,4.24,4.29,0.0
4,4.007606,96.36739,0.02,0.0,-0.02,0.0,0.02,0.0,5.43,5.26,0.0
5,4.007606,96.45053,0.08,0.01,0.09,0.0,0.86,0.0,7.86,5.21,0.0
6,4.007606,96.53367,0.01,0.14,-0.09,0.05,3.63,0.0,9.6,5.26,0.0
7,4.007606,96.616806,0.18,0.01,0.28,0.0,1.91,0.29,12.79,4.41,0.01
8,4.007606,96.69994,0.22,0.16,0.14,0.18,0.75,0.12,16.07,1.33,0.1
9,4.007606,96.78308,0.09,0.04,0.47,1.55,3.22,0.04,10.52,0.46,0.31
10,4.007606,96.86621,0.0,0.0,0.2,0.51,2.37,0.02,0.31,0.09,0.14
11,4.007606,96.94935,0.01,0.0,0.58,0.07,1.6,0.01,0.28,0.08,0.09
12,4.007606,97.032486,0.02,0.0,0.27,0.01,2.24,0.02,1.02,0.42,0.48
13,4.007606,97.11562,0.96,0.03,-0.35,0.0,1.35,0.01,0.87,1.92,0.73
14,4.007606,97.19876,0.33,0.0,0.43,0.0,0.31,0.0,0.19,0.87,0.04
15,4.007606,97.28189,0.65,0.0,-0.33,0.0,0.04,0.0,0.04,0.36,0.0
16,4.007606,97.36503,0.0,0.0,0.63,0.01,0.0,0.0,0.0,0.4,0.0
17,4.007606,97.448166,0.01,0.0,0.38,0.0,0.01,0.0,0.0,1.12,0.05
18,4.007606,97.5313,0.01,0.0,3.24,0.12,0.31,0.0,0.0,3.06,0.0
19,4.007606,97.61444,0.16,0.07,2.7,0.07,0.36,0.0,0.0,6.08,0.1
20,4.007606,97.69757,0.0,0.14,1.61,0.01,0.06,0.02,0.0,3.92,0.0
21,4.007606,97.78071,0.01,0.0,3.24,0.0,0.0,0.23,0.0,0.09,0.12
22,4.007606,97.863846,0.14,0.0,0.12,0.0,0.0,0.0,0.0,1.18,0.0
23,4.007606,97.94698,0.03,0.0,-0.01,0.0,0.0,0.04,0.0,0.01,0.0
24,4.007606,98.03012,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.01,0.0
25,4.007606,98.11325,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.4,0.0
26,4.007606,98.19639,0.0,0.03,-0.01,0.0,0.0,0.0,0.0,0.01,0.0
27,4.007606,98.279526,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
31,4.007606,98.612076,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0
34,4.007606,98.86148,0.0,0.05,-0.02,0.0,0.0,0.01,3.01,0.0,0.0
35,4.007606,98.94461,0.19,1.53,-1.69,0.0,0.0,0.01,5.1,0.0,0.26
36,4.007606,99.027756,0.01,1.52,-1.45,0.01,0.0,0.04,3.77,0.0,0.02
37,4.007606,99.110886,0.0,0.13,-0.13,0.48,0.0,0.01,4.06,0.0,0.0
38,4.007606,99.19402,0.02,0.01,-0.03,0.04,0.0,0.12,5.3,0.0,0.0
39,4.007606,99.27716,0.0,0.06,-0.05,0.0,0.0,0.04,1.53,0.02,0.0
40,4.007606,99.36029,0.0,0.03,0.0,0.0,0.0,0.24,0.03,0.0,0.0
41,4.007606,99.443436,0.0,0.09,0.15,0.0,0.0,0.01,0.01,0.0,0.02
42,4.007606,99.526566,0.0,0.01,0.02,0.0,0.0,0.21,0.01,0.1,0.0
43,4.007606,99.6097,0.0,0.0,0.01,0.0,0.0,1.61,0.0,0.0,0.0
44,4.007606,99.69284,0.03,0.0,-0.01,0.0,0.0,3.58,0.0,0.0,0.0
45,4.007606,99.77597,0.08,0.0,0.5,0.0,0.01,0.32,0.0,0.0,0.0
46,4.007606,99.8591,0.07,0.0,3.35,0.0,0.0,0.06,0.0,0.0,0.0
47,4.007606,99.942245,0.01,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0
48,4.007606,100.02538,0.06,0.0,0.42,0.0,0.38,0.08,0.01,0.0,0.02
49,4.007606,100.10852,1.62,0.0,-1.6,0.0,2.16,0.07,0.01,0.0,0.02
50,4.007606,100.19165,1.03,0.0,-0.99,0.0,0.03,0.0,0.0,0.0,0.0
51,4.007606,100.27478,0.14,0.01,-0.14,0.0,0.01,0.04,0.0,0.0,0.0
52,4.007606,100.357925,0.19,0.42,-0.62,0.0,0.0,0.0,0.0,0.0,0.0
53,4.007606,100.44106,0.79,0.0,-0.79,0.01,0.14,0.0,0.0,0.0,0.0
54,4.007606,100.5242,0.14,0.0,-0.17,0.0,0.0,0.0,0.01,0.0,0.0
55,4.007606,100.60733,0.06,0.0,-0.06,0.0,0.0,0.0,0.17,0.0,0.0
56,4.007606,100.69046,0.14,0.0,-0.14,0.0,0.0,0.0,1.52,0.0,0.0
57,4.007606,100.773605,0.42,0.03,-0.45,0.0,0.0,0.04,1.57,0.0,0.0
58,4.007606,100.85674,0.45,0.0,-0.45,0.0,0.01,0.35,0.1,0.0,0.0
59,4.007606,100.93988,0.68,0.0,-0.68,0.0,0.0,1.34,0.0,0.0,0.0
60,4.007606,101.02302,0.31,0.0,-0.1,0.0,0.0,2.31,0.0,0.0,0.0
61,4.007606,101.10615,0.64,0.0,-0.63,0.0,0.0,3.67,0.02,0.0,0.0
62,4.007606,101.189285,1.15,0.0,-1.08,0.0,0.0,3.29,0.21,0.0,0.02
63,4.007606,101.27242,1.72,0.0,0.53,0.0,0.0,2.42,0.02,0.0,0.0
64,4.007606,101.35556,1.23,0.0,-0.32,0.0,0.0,3.34,0.2,0.04,0.0
65,4.007606,101.4387,0.15,0.0,0.43,0.18,0.0,0.14,0.28,0.24,0.0
66,4.007606,101.52183,0.0,0.0,0.0,0.62,0.0,0.03,0.22,0.01,0.0
67,4.007606,101.604965,0.0,0.0,0.01,0.05,0.0,0.2,0.08,0.0,0.0
