,lat,lon,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.01,0.0,0.06,0.02,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.05,0.43,0.01,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.0,0.0,0.87,0.05,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.0,0.0,0.09,1.29,0.09,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.0,0.01,0.43,3.06,0.43,0.0,0.0,0.0
5,4.007606,96.45053,0.0,0.0,0.26,0.05,6.67,1.3,0.0,0.0,0.01
6,4.007606,96.53367,0.04,0.0,0.87,0.52,9.75,2.61,0.0,0.05,0.01
7,4.007606,96.616806,0.04,0.4,1.45,1.65,12.35,4.18,0.0,0.21,0.0
8,4.007606,96.69994,0.02,0.37,1.31,0.61,9.43,5.15,0.02,0.19,0.05
9,4.007606,96.78308,0.53,1.36,0.68,0.02,6.74,4.44,0.16,0.23,0.29
10,4.007606,96.86621,0.14,0.73,0.05,0.34,7.64,3.81,0.02,0.0,0.5
11,4.007606,96.94935,0.07,0.17,0.01,0.61,7.98,4.62,0.0,0.0,0.68
12,4.007606,97.032486,0.03,0.01,0.0,0.97,7.23,5.44,0.04,0.01,1.84
13,4.007606,97.11562,0.22,0.15,0.05,0.45,9.67,6.59,0.0,0.04,0.43
14,4.007606,97.19876,0.16,0.66,0.03,0.2,10.96,7.26,0.0,0.0,0.07
15,4.007606,97.28189,0.0,0.12,0.01,0.04,7.67,7.44,0.0,0.0,1.26
16,4.007606,97.36503,0.0,0.35,0.02,0.05,1.92,4.08,0.01,0.01,0.93
17,4.007606,97.448166,0.01,0.07,0.01,0.03,0.51,0.59,0.01,0.0,0.9
18,4.007606,97.5313,0.01,0.1,0.34,0.27,0.16,1.41,0.03,0.0,0.95
19,4.007606,97.61444,0.05,0.02,0.03,0.09,0.06,0.04,0.16,0.0,0.53
20,4.007606,97.69757,0.29,0.13,0.36,0.02,0.0,0.0,2.0,0.0,0.48
