,lat,lon,00:00Z 31-Mar-2024,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024
55,4.007606,100.60733,0.0,0.0,0.0,0.21,0.4,0.0,0.0,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.007606,100.85674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4.007606,100.93988,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
60,4.007606,101.02302,1.15,0.04,0.0,0.0,0.75,0.0,0.0,0.0,0.0
61,4.007606,101.10615,2.97,0.15,0.0,0.0,1.02,0.0,0.0,0.0,0.0
62,4.007606,101.189285,1.02,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.0
63,4.007606,101.27242,0.01,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0
64,4.007606,101.35556,0.0,0.02,0.0,0.02,0.06,0.0,0.0,0.0,0.0
65,4.007606,101.4387,0.07,0.08,0.0,0.05,1.1,0.0,0.0,0.02,0.0
66,4.007606,101.52183,0.57,0.03,0.03,0.25,0.54,0.01,0.0,0.0,0.0
67,4.007606,101.604965,0.31,0.32,0.05,0.07,0.72,0.0,0.0,0.0,0.0
68,4.007606,101.6881,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4.007606,101.77124,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4.007606,101.93751,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.0,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.0,0.01,0.02,0.05,0.0,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
76,4.007606,102.35319,0.0,0.0,0.43,0.03,0.11,0.0,0.0,0.0,0.0
77,4.007606,102.436325,0.0,0.0,0.19,0.55,0.39,0.0,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.0,0.01,1.6,1.62,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0
80,4.007606,102.68574,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
81,4.007606,102.76887,0.14,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
82,4.007606,102.852005,0.19,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
83,4.007606,102.93514,0.02,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0
84,4.007606,103.01828,0.0,0.0,0.0,0.0,2.32,0.0,0.01,0.0,0.0
85,4.007606,103.10142,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
86,4.007606,103.18455,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
87,4.007606,103.267685,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
88,4.007606,103.35082,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
89,4.007606,103.43396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4.007606,103.5171,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0
91,4.007606,103.60023,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
92,4.007606,103.683365,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
93,4.007606,103.7665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,4.007606,103.84964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4.007606,103.93278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
96,4.007606,104.01591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4.007606,104.099045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4.007606,104.18218,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
99,4.007606,104.26532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.007606,104.34846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4.007606,104.43159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4.007606,104.514725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4.007606,104.59786,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
104,4.007606,104.681,0.0,0.0,0.0,0.01,0.01,0.2,0.0,0.0,0.0
105,4.007606,104.76414,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0
106,4.007606,104.847275,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
107,4.007606,104.930405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4.007606,105.01354,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
109,4.007606,105.09668,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.0,0.0
110,4.007606,105.17982,0.0,0.0,0.0,0.07,0.04,0.51,0.0,0.0,0.0
111,4.007606,105.262955,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0
112,4.007606,105.346085,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
113,4.007606,105.42922,0.0,0.0,0.0,0.0,0.01,1.3,0.0,0.0,0.0
114,4.007606,105.51236,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.1
115,4.007606,105.5955,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
116,4.007606,105.678635,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
117,4.007606,105.761765,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
118,4.007606,105.8449,0.02,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0
119,4.007606,105.92804,0.0,0.0,0.0,0.0,0.02,4.04,0.0,0.0,0.0
120,4.090523,96.03485,0.04,1.48,0.0,2.25,1.86,1.03,0.0,0.0,0.03
121,4.090523,96.11799,0.01,0.5,0.0,2.51,0.5,0.13,0.0,0.0,0.05
122,4.090523,96.201126,0.0,0.42,0.01,0.4,0.91,0.39,0.0,0.0,0.26
123,4.090523,96.28426,0.43,0.64,0.4,1.47,5.71,0.5,0.0,0.0,0.0
124,4.090523,96.36739,0.0,1.65,0.87,3.37,3.5,2.86,0.0,0.0,0.0
125,4.090523,96.45053,0.01,3.44,5.95,10.33,2.32,15.71,0.51,0.03,1.88
126,4.090523,96.53367,1.79,4.52,7.64,10.03,17.93,36.24,2.67,4.75,43.98
127,4.090523,96.616806,4.49,12.54,24.12,26.91,16.88,40.78,5.41,27.39,57.29
128,4.090523,96.69994,8.26,8.87,10.61,10.1,25.71,10.24,9.55,11.53,20.1
129,4.090523,96.78308,8.5,54.6,9.64,7.94,5.74,52.41,7.92,0.5,6.26
130,4.090523,96.86621,6.24,11.37,6.22,1.6,4.62,2.51,1.42,0.05,9.97
131,4.090523,96.94935,8.44,13.99,23.7,7.48,4.02,4.11,0.06,0.68,24.25
132,4.090523,97.032486,10.23,29.48,16.56,14.06,4.3,11.42,0.09,1.96,8.6
133,4.090523,97.11562,4.9,34.89,35.26,6.83,22.0,9.4,0.1,1.86,3.48
134,4.090523,97.19876,22.29,17.4,49.62,16.05,45.95,22.6,0.13,5.38,2.3
135,4.090523,97.28189,33.62,17.82,17.54,12.11,27.94,14.09,0.93,7.65,0.01
136,4.090523,97.36503,56.3,12.88,13.09,13.04,68.26,8.68,0.26,15.31,0.48
137,4.090523,97.448166,46.47,14.36,20.28,5.23,39.43,2.02,0.07,0.75,1.72
138,4.090523,97.5313,80.82,46.0,73.93,9.54,9.83,1.74,0.0,13.53,10.03
139,4.090523,97.61444,87.79,42.1,27.22,20.77,20.44,0.0,0.0,22.1,28.9
140,4.090523,97.69757,33.93,49.07,12.02,15.27,36.71,0.03,0.0,12.66,9.17
141,4.090523,97.78071,30.59,54.15,3.84,0.08,46.04,1.72,0.0,20.39,24.49
142,4.090523,97.863846,25.24,53.41,6.06,0.0,54.68,0.0,0.0,2.3,0.77
143,4.090523,97.94698,6.39,16.94,0.29,0.02,62.9,0.0,0.0,0.02,0.01
144,4.090523,98.03012,1.7,9.63,0.0,0.0,71.99,0.11,0.0,0.0,0.24
145,4.090523,98.11325,1.29,6.25,0.0,0.0,77.5,0.0,0.0,0.0,0.02
146,4.090523,98.19639,5.3,4.15,0.0,0.0,54.11,0.0,0.0,3.79,1.57
147,4.090523,98.279526,5.91,0.02,0.0,0.0,35.18,0.0,0.0,0.24,0.11
148,4.090523,98.36266,2.0,0.0,0.0,0.17,14.68,0.0,0.0,0.01,0.0
149,4.090523,98.4458,1.72,1.35,0.0,0.0,8.21,0.04,0.0,0.17,0.0
150,4.090523,98.52893,0.02,2.32,0.0,0.0,8.64,0.37,0.0,0.0,0.0
151,4.090523,98.612076,0.64,2.19,0.0,0.0,8.59,0.01,0.0,0.27,0.0
152,4.090523,98.695206,1.28,1.47,0.0,0.0,11.3,0.0,0.0,0.01,0.07
153,4.090523,98.77834,0.56,1.1,0.0,0.0,11.12,0.25,0.07,0.02,0.0
154,4.090523,98.86148,1.38,0.57,0.0,0.02,5.4,0.01,0.13,0.2,0.21
155,4.090523,98.94461,5.1,1.2,0.0,0.25,0.72,0.19,0.19,0.03,0.26
156,4.090523,99.027756,0.02,1.57,0.14,0.0,0.44,0.02,0.22,0.04,0.13
157,4.090523,99.110886,0.19,7.32,0.0,0.0,2.21,0.12,1.27,1.21,0.0
158,4.090523,99.19402,0.86,0.73,0.0,0.0,5.13,0.26,4.43,0.87,0.0
159,4.090523,99.27716,0.01,0.29,0.0,0.0,8.84,0.05,0.4,0.32,0.05
160,4.090523,99.36029,0.35,1.98,0.0,0.0,8.09,0.36,0.11,0.44,0.01
161,4.090523,99.443436,0.0,12.49,0.0,0.0,12.78,1.33,0.0,1.31,0.0
162,4.090523,99.526566,0.01,1.49,0.0,0.0,19.7,0.44,0.01,2.01,0.07
163,4.090523,99.6097,0.17,0.18,0.0,0.0,5.63,1.71,0.1,6.3,0.0
164,4.090523,99.69284,0.14,0.83,0.0,0.0,7.5,2.97,0.01,10.04,0.35
165,4.090523,99.77597,0.01,0.79,0.0,0.0,10.37,0.01,0.0,4.23,0.01
166,4.090523,99.8591,0.11,4.69,0.57,0.01,1.97,0.63,0.17,0.2,1.45
167,4.090523,99.942245,0.97,10.43,0.01,0.0,6.39,0.13,0.98,0.0,0.06
168,4.090523,100.02538,0.4,4.86,0.37,0.17,6.1,0.15,4.35,0.01,0.18
169,4.090523,100.10852,2.26,9.41,0.05,0.14,15.11,0.26,0.14,0.3,0.01
170,4.090523,100.19165,9.72,7.79,0.72,0.23,27.58,0.04,0.02,0.25,0.08
171,4.090523,100.27478,29.21,2.92,0.03,1.24,30.51,3.98,9.44,0.03,0.19
172,4.090523,100.357925,5.66,16.17,0.0,5.85,7.18,1.95,0.19,0.02,3.71
173,4.090523,100.44106,8.01,11.76,0.0,1.54,11.19,0.4,0.0,0.03,5.43
174,4.090523,100.5242,8.7,3.78,0.0,2.29,7.61,0.01,0.0,0.0,0.16
175,4.090523,100.60733,0.24,1.42,0.0,23.96,4.32,0.01,0.0,0.0,0.0
176,4.090523,100.69046,0.2,0.72,0.0,3.77,0.13,0.0,0.0,0.0,0.0
177,4.090523,100.773605,3.85,1.41,0.03,0.14,0.04,0.0,0.0,0.0,0.0
178,4.090523,100.85674,0.53,2.56,0.12,0.73,10.79,0.0,0.0,0.0,0.0
179,4.090523,100.93988,6.26,5.61,0.06,0.09,2.33,0.0,0.0,0.0,0.0
180,4.090523,101.02302,28.62,16.84,0.01,0.0,30.28,0.0,0.0,0.0,0.0
181,4.090523,101.10615,81.34,30.55,6.63,0.0,32.88,0.0,0.0,0.03,0.0
182,4.090523,101.189285,59.24,19.9,5.92,3.83,5.59,0.0,0.0,0.0,0.0
183,4.090523,101.27242,12.18,13.66,1.31,0.86,7.4,2.21,0.0,0.0,0.0
184,4.090523,101.35556,12.56,10.26,4.94,7.56,6.38,2.41,0.0,0.03,0.0
185,4.090523,101.4387,16.86,10.21,53.01,12.09,26.37,3.12,0.05,2.34,0.0
186,4.090523,101.52183,33.0,30.07,9.71,20.45,25.2,0.85,0.0,2.0,0.0
187,4.090523,101.604965,17.24,4.89,4.08,5.67,66.71,4.04,0.0,0.0,0.04
188,4.090523,101.6881,0.33,7.8,0.04,3.4,3.85,0.0,0.0,0.0,0.0
189,4.090523,101.77124,0.0,8.08,3.45,0.0,0.04,0.01,0.0,0.0,0.0
190,4.090523,101.85438,0.0,15.17,0.28,0.0,1.17,0.0,0.0,0.0,0.0
