,lat,lon,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024,00:00Z 15-Apr-2024,00:00Z 16-Apr-2024
0,4.007606,96.03485,0.0,0.02,0.01,0.17,0.01,0.0,0.0,0.03,0.0,0.0
1,4.007606,96.11799,0.0,0.26,0.01,0.28,0.06,0.0,0.0,0.02,0.0,0.0
2,4.007606,96.201126,0.0,1.55,0.0,0.33,0.73,0.0,0.0,0.21,0.0,0.0
3,4.007606,96.28426,0.0,4.06,0.0,0.47,2.45,0.0,0.0,0.75,0.0,0.0
4,4.007606,96.36739,0.0,8.54,0.0,1.42,5.65,0.0,0.0,2.73,0.06,0.1
5,4.007606,96.45053,0.04,12.9,0.0,2.66,11.6,0.0,0.02,6.77,0.07,0.13
6,4.007606,96.53367,0.05,9.94,0.0,0.48,16.77,0.0,0.33,11.66,0.07,0.02
7,4.007606,96.616806,0.06,4.57,0.04,0.19,20.83,0.01,1.84,19.69,0.59,0.38
8,4.007606,96.69994,0.04,2.75,0.06,0.07,14.68,0.0,5.74,36.67,5.35,0.04
9,4.007606,96.78308,0.18,2.19,0.01,0.19,1.33,0.3,0.82,31.14,8.17,1.41
10,4.007606,96.86621,0.06,0.33,0.0,0.51,0.02,0.01,0.93,15.15,2.23,2.95
11,4.007606,96.94935,1.15,0.03,0.0,0.55,0.02,0.0,2.3,9.81,0.7,1.68
12,4.007606,97.032486,0.02,0.09,0.0,0.47,0.05,0.0,0.32,7.54,2.23,2.0
13,4.007606,97.11562,0.0,0.06,0.01,1.03,0.08,0.0,0.09,8.16,3.68,2.17
14,4.007606,97.19876,0.0,0.23,0.11,2.09,0.41,0.0,0.01,8.26,5.47,3.25
15,4.007606,97.28189,0.02,0.18,0.18,0.26,0.93,0.0,0.0,9.22,6.26,11.41
16,4.007606,97.36503,0.0,0.03,0.02,0.02,1.46,0.0,0.0,5.93,8.34,11.14
17,4.007606,97.448166,0.0,0.05,0.07,0.07,1.45,0.02,0.0,5.99,4.36,4.64
18,4.007606,97.5313,0.01,0.39,0.16,0.12,0.85,0.32,0.0,5.45,3.38,7.55
19,4.007606,97.61444,0.01,0.6,0.09,0.04,0.94,0.0,0.11,6.37,1.94,9.17
20,4.007606,97.69757,0.43,1.83,0.3,0.0,0.9,0.0,0.17,7.24,3.65,3.7
21,4.007606,97.78071,0.14,1.86,0.01,0.0,0.19,0.0,0.72,10.78,6.06,1.32
22,4.007606,97.863846,0.14,1.0,0.07,0.0,0.03,0.0,0.05,4.73,1.02,3.93
23,4.007606,97.94698,0.02,0.57,0.02,0.0,0.0,0.0,0.0,4.16,0.09,5.22
24,4.007606,98.03012,0.08,0.02,0.0,0.0,0.0,0.0,0.0,2.62,0.68,3.15
25,4.007606,98.11325,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.03,2.88
26,4.007606,98.19639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.75
27,4.007606,98.279526,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
28,4.007606,98.36266,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.42,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.02
30,4.007606,98.52893,0.0,1.32,0.08,0.01,0.0,0.0,0.0,0.01,0.0,0.04
31,4.007606,98.612076,0.01,0.07,0.05,0.04,0.0,0.0,0.0,0.01,0.0,0.01
32,4.007606,98.695206,0.0,0.0,0.02,0.12,0.0,0.0,0.0,0.05,0.0,0.01
33,4.007606,98.77834,0.0,0.01,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.01
34,4.007606,98.86148,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06
35,4.007606,98.94461,0.0,0.01,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.2
36,4.007606,99.027756,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.06
37,4.007606,99.110886,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.01
38,4.007606,99.19402,0.0,0.03,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.16
39,4.007606,99.27716,0.0,0.02,0.75,0.0,0.0,0.0,0.0,0.14,0.0,0.23
40,4.007606,99.36029,0.0,0.0,4.53,0.0,0.0,0.0,0.0,0.01,0.01,0.16
41,4.007606,99.443436,0.0,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01
42,4.007606,99.526566,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4.007606,99.6097,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.12
44,4.007606,99.69284,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.39
45,4.007606,99.77597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
46,4.007606,99.8591,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0
47,4.007606,99.942245,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
48,4.007606,100.02538,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.33
49,4.007606,100.10852,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01
50,4.007606,100.19165,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.02,0.15
51,4.007606,100.27478,0.0,0.02,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4.007606,100.357925,0.0,0.16,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4.007606,100.44106,0.0,0.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,4.007606,100.5242,0.0,0.67,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,4.007606,100.60733,0.0,0.7,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4.007606,100.69046,0.0,0.93,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.0,1.15,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.007606,100.85674,0.0,1.17,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4.007606,100.93988,0.0,1.27,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0
60,4.007606,101.02302,0.0,1.58,0.04,0.08,0.12,0.0,0.0,0.0,0.0,0.01
61,4.007606,101.10615,0.49,1.71,0.04,0.14,0.0,0.0,0.0,0.01,0.0,0.06
62,4.007606,101.189285,0.17,1.51,0.08,0.09,0.0,0.0,0.0,0.3,0.0,0.25
63,4.007606,101.27242,0.0,2.18,0.03,0.0,0.0,0.0,0.0,0.33,0.07,0.76
64,4.007606,101.35556,0.0,5.74,0.01,0.02,0.05,0.03,0.0,1.63,0.42,1.77
65,4.007606,101.4387,0.01,9.79,0.01,0.0,0.02,0.09,0.27,0.06,0.21,0.13
66,4.007606,101.52183,0.05,5.72,0.04,0.0,0.0,0.0,0.05,0.21,0.13,0.0
67,4.007606,101.604965,0.0,2.66,0.14,0.0,0.0,0.02,0.0,0.01,0.0,0.0
68,4.007606,101.6881,0.0,0.67,0.08,0.02,0.0,0.02,0.0,0.0,0.0,0.0
69,4.007606,101.77124,0.0,1.26,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0
71,4.007606,101.93751,0.0,0.0,0.01,0.0,0.0,0.23,0.0,0.0,0.03,0.0
72,4.007606,102.020645,0.0,0.0,0.06,0.03,0.0,0.15,0.0,0.0,0.41,0.0
73,4.007606,102.10378,0.0,0.0,0.07,0.46,0.0,0.02,0.0,0.0,1.79,0.0
74,4.007606,102.18692,0.0,0.01,0.31,1.02,0.0,0.0,0.0,0.12,1.94,0.0
75,4.007606,102.27006,0.0,0.19,0.69,1.5,0.0,0.0,0.0,0.04,0.98,0.01
76,4.007606,102.35319,0.0,2.6,1.16,0.87,0.0,0.0,0.0,0.0,0.19,0.73
77,4.007606,102.436325,0.0,4.71,1.92,0.06,0.0,0.04,0.0,0.0,0.0,0.26
78,4.007606,102.51946,0.0,6.42,3.68,0.36,0.0,0.41,0.0,0.0,0.0,5.48
79,4.007606,102.6026,0.0,5.53,5.61,0.13,0.0,1.43,0.0,0.0,0.0,1.76
80,4.007606,102.68574,0.0,2.61,3.86,0.05,0.0,1.74,0.0,0.0,0.0,0.24
81,4.007606,102.76887,0.0,0.26,1.93,0.02,0.0,1.31,0.02,0.0,0.0,0.0
82,4.007606,102.852005,0.0,0.91,0.67,0.0,0.0,0.85,0.02,0.0,0.06,0.0
83,4.007606,102.93514,0.0,2.69,0.34,0.04,0.0,0.09,0.0,0.01,0.07,0.05
84,4.007606,103.01828,0.0,3.19,0.39,0.14,0.0,0.0,0.0,0.03,0.59,0.27
85,4.007606,103.10142,0.0,4.0,1.27,0.32,0.0,0.01,0.0,0.19,3.11,0.06
86,4.007606,103.18455,0.0,1.19,2.73,0.57,0.0,0.0,0.02,0.24,0.56,2.14
87,4.007606,103.267685,0.01,0.01,4.93,0.38,0.0,0.0,0.01,0.05,0.0,2.49
88,4.007606,103.35082,0.0,0.14,7.62,1.02,0.01,0.0,0.01,0.0,0.01,0.35
89,4.007606,103.43396,0.03,0.85,7.51,1.81,0.13,0.07,0.03,0.0,0.02,0.0
90,4.007606,103.5171,0.02,2.25,4.42,2.15,0.31,0.0,0.06,0.0,0.13,0.0
91,4.007606,103.60023,0.02,2.57,1.94,1.93,0.31,0.11,0.63,0.0,0.16,0.02
92,4.007606,103.683365,0.05,1.0,1.46,1.1,0.07,0.34,2.11,0.01,0.0,0.0
93,4.007606,103.7665,0.0,0.23,0.93,0.27,0.03,0.02,2.81,0.13,0.0,0.0
94,4.007606,103.84964,0.0,0.21,0.41,0.1,0.11,0.02,0.39,0.05,0.0,0.07
95,4.007606,103.93278,0.0,0.01,0.26,0.01,0.34,0.0,0.24,0.0,0.0,0.6
96,4.007606,104.01591,0.0,0.01,0.11,0.2,0.34,0.04,0.11,0.04,0.0,0.19
97,4.007606,104.099045,0.01,0.04,0.35,1.18,0.47,0.01,0.07,0.03,0.0,0.0
98,4.007606,104.18218,0.0,0.03,1.24,3.19,1.09,0.01,0.03,0.0,0.0,0.0
99,4.007606,104.26532,0.0,0.0,3.04,4.31,1.87,0.0,0.02,0.0,0.0,0.0
100,4.007606,104.34846,0.0,0.0,4.28,2.82,3.07,0.0,0.01,0.0,0.0,0.0
101,4.007606,104.43159,0.0,0.01,2.81,1.45,4.46,0.0,0.0,0.02,0.0,0.0
102,4.007606,104.514725,0.0,0.0,0.77,0.27,2.54,0.07,0.0,0.0,0.0,0.0
103,4.007606,104.59786,0.0,0.0,0.06,0.17,1.25,0.17,0.0,0.0,0.0,0.0
104,4.007606,104.681,0.0,0.02,0.19,0.54,0.73,0.02,0.0,0.0,0.0,0.0
105,4.007606,104.76414,0.0,0.0,0.1,0.81,0.6,0.0,0.0,0.0,0.0,0.0
106,4.007606,104.847275,0.0,0.0,0.38,0.84,1.0,0.0,0.0,0.0,0.0,0.0
107,4.007606,104.930405,0.01,0.0,0.34,0.63,2.21,0.01,0.01,0.0,0.0,0.0
108,4.007606,105.01354,0.0,0.0,0.29,0.28,3.63,0.04,0.03,0.0,0.0,0.0
109,4.007606,105.09668,0.0,0.01,0.44,0.09,4.19,0.12,0.01,0.0,0.0,0.0
110,4.007606,105.17982,0.0,0.0,0.42,0.04,3.89,0.0,0.09,0.0,0.0,0.0
111,4.007606,105.262955,0.0,0.01,0.28,0.25,4.71,0.01,0.03,0.0,0.0,0.0
112,4.007606,105.346085,0.0,0.14,0.5,0.68,5.44,0.0,0.01,0.0,0.0,0.0
113,4.007606,105.42922,0.0,0.0,0.85,0.51,3.79,0.0,0.0,0.0,0.0,0.0
114,4.007606,105.51236,0.0,0.02,1.14,0.03,2.2,0.0,0.0,0.0,0.0,0.0
115,4.007606,105.5955,0.0,0.0,0.77,0.02,1.32,0.0,0.0,0.0,0.0,0.0
116,4.007606,105.678635,0.0,0.05,0.3,0.03,0.98,0.0,0.0,0.0,0.0,0.0
117,4.007606,105.761765,0.0,0.01,0.09,0.03,0.89,0.0,0.0,0.0,0.0,0.0
118,4.007606,105.8449,0.0,0.0,0.09,0.04,0.8,0.0,0.0,0.0,0.0,0.0
119,4.007606,105.92804,0.0,0.0,0.22,0.02,0.69,0.0,0.0,0.0,0.0,0.0
120,4.090523,96.03485,0.03,0.23,4.84,4.45,1.74,1.51,1.66,1.95,0.49,1.1
121,4.090523,96.11799,0.0,0.22,3.9,2.2,0.89,1.51,0.72,1.15,0.0,1.32
122,4.090523,96.201126,0.0,0.09,0.55,1.57,1.91,0.95,0.43,1.89,0.0,0.81
123,4.090523,96.28426,0.0,0.17,0.01,8.93,5.7,1.3,1.19,4.46,0.04,4.61
124,4.090523,96.36739,4.76,0.76,0.0,28.57,13.69,0.78,1.89,6.82,0.17,6.2
125,4.090523,96.45053,13.09,4.39,0.0,48.32,14.75,6.38,8.78,13.1,0.79,12.63
126,4.090523,96.53367,23.37,14.68,0.11,15.62,37.11,9.36,12.46,11.76,6.3,10.83
127,4.090523,96.616806,31.29,59.46,3.28,10.61,88.1,22.97,22.85,18.02,12.27,60.96
128,4.090523,96.69994,11.67,79.89,1.42,17.05,89.9,9.99,64.89,113.81,96.4,18.05
129,4.090523,96.78308,16.11,79.55,1.45,19.1,18.45,27.28,49.05,64.19,28.38,77.22
130,4.090523,96.86621,16.31,23.5,0.09,17.05,10.03,1.46,28.76,40.26,13.09,53.87
131,4.090523,96.94935,5.04,28.62,0.0,47.83,5.46,0.22,76.6,41.58,28.86,25.45
132,4.090523,97.032486,0.48,9.51,7.92,28.03,13.26,0.28,19.34,52.64,61.18,47.15
133,4.090523,97.11562,10.94,8.11,6.77,12.7,17.96,3.42,8.46,24.85,59.02,27.05
134,4.090523,97.19876,1.34,10.46,3.52,40.06,11.86,0.52,8.46,31.37,31.64,7.1
135,4.090523,97.28189,5.16,7.99,13.98,22.08,10.59,0.43,3.16,51.61,35.14,41.37
136,4.090523,97.36503,2.08,1.92,3.89,6.7,15.85,0.98,2.87,26.5,77.51,74.95
137,4.090523,97.448166,0.19,2.87,5.01,4.86,23.98,1.83,1.46,38.53,26.53,58.62
138,4.090523,97.5313,4.03,12.38,22.68,22.19,42.14,25.43,6.07,71.79,19.21,47.6
139,4.090523,97.61444,5.71,19.02,12.27,6.11,39.94,1.45,7.64,102.3,16.06,81.23
140,4.090523,97.69757,8.02,34.25,20.64,5.54,40.54,0.0,4.86,114.76,80.58,46.8
141,4.090523,97.78071,5.94,66.61,2.82,5.08,18.13,0.0,27.47,138.47,151.7,30.49
142,4.090523,97.863846,4.67,57.65,8.81,2.88,5.81,0.0,9.95,136.1,43.88,30.34
143,4.090523,97.94698,0.87,68.55,5.12,3.45,2.94,0.0,4.84,50.03,18.42,90.41
144,4.090523,98.03012,1.52,23.89,3.89,3.72,0.54,0.0,2.19,68.7,39.16,69.94
145,4.090523,98.11325,8.04,8.9,0.01,2.25,2.13,0.13,2.09,19.86,7.71,60.19
146,4.090523,98.19639,0.13,2.81,0.0,1.17,1.26,0.0,0.02,3.31,4.31,29.19
147,4.090523,98.279526,0.0,3.39,0.06,0.09,0.0,0.0,0.0,1.36,1.02,4.76
148,4.090523,98.36266,0.0,2.55,0.35,0.93,0.0,0.0,0.16,2.63,0.7,3.52
149,4.090523,98.4458,0.0,13.2,0.76,0.82,0.0,0.0,0.0,14.85,1.01,2.7
150,4.090523,98.52893,0.01,30.6,5.4,0.32,0.03,0.0,0.01,2.06,3.2,4.28
151,4.090523,98.612076,0.31,9.31,3.32,8.36,0.01,0.49,0.16,4.06,0.64,4.2
152,4.090523,98.695206,0.01,1.73,11.67,9.95,0.36,0.01,0.02,1.98,1.2,3.36
153,4.090523,98.77834,0.0,9.11,0.16,9.57,0.07,0.04,0.59,0.61,1.02,0.88
154,4.090523,98.86148,0.0,6.66,0.64,6.68,0.0,0.02,0.0,0.63,1.55,2.38
155,4.090523,98.94461,0.0,7.95,3.08,7.87,0.0,0.0,0.01,0.46,1.24,21.15
156,4.090523,99.027756,0.0,8.01,1.7,8.15,2.6,0.0,0.48,0.6,3.19,7.79
157,4.090523,99.110886,0.17,4.18,7.24,10.69,0.13,0.0,0.13,1.28,1.13,12.77
158,4.090523,99.19402,0.01,18.52,3.58,11.86,0.06,0.0,0.38,0.18,3.05,24.36
159,4.090523,99.27716,0.01,13.19,7.14,2.91,0.0,0.0,0.0,8.34,1.93,26.52
160,4.090523,99.36029,0.0,5.97,43.03,4.41,0.0,0.0,0.0,0.71,1.66,26.26
161,4.090523,99.443436,1.08,11.78,70.24,3.66,0.0,0.0,0.0,0.5,1.03,10.83
162,4.090523,99.526566,2.07,6.1,72.36,2.49,0.0,0.0,0.0,0.72,1.6,6.2
163,4.090523,99.6097,0.43,3.49,20.67,1.86,0.0,0.0,0.0,0.74,7.74,13.89
164,4.090523,99.69284,0.0,2.49,13.65,0.0,0.0,0.0,0.0,0.56,0.2,17.25
165,4.090523,99.77597,0.0,0.9,3.92,1.35,0.0,0.0,0.0,0.51,1.9,2.41
166,4.090523,99.8591,0.0,2.22,10.59,19.41,0.0,0.0,0.0,0.78,0.64,1.72
