,lat,lon,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.01,0.0,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.0,0.0,0.03,0.0,0.0,0.0,0.0
6,4.007606,96.53367,0.0,0.06,0.0,0.0,0.0,0.0,0.0
7,4.007606,96.616806,0.02,0.1,0.12,0.0,0.05,0.03,0.01
8,4.007606,96.69994,0.12,0.11,0.35,0.05,0.0,0.0,0.02
9,4.007606,96.78308,0.29,0.34,0.28,0.07,0.41,0.06,0.54
10,4.007606,96.86621,0.16,0.1,0.13,0.04,0.15,0.01,0.43
11,4.007606,96.94935,0.47,0.01,0.68,0.0,0.01,0.06,0.07
12,4.007606,97.032486,0.95,0.0,2.88,0.0,0.05,0.03,0.19
13,4.007606,97.11562,1.02,0.0,4.69,0.0,0.38,0.01,0.05
14,4.007606,97.19876,0.64,0.01,1.4,0.0,0.37,0.0,0.0
15,4.007606,97.28189,0.17,0.08,1.29,0.0,0.01,0.0,0.0
16,4.007606,97.36503,0.18,0.05,0.05,0.0,0.0,0.0,0.0
17,4.007606,97.448166,0.56,0.75,0.0,0.0,0.0,0.0,0.02
18,4.007606,97.5313,0.41,0.59,0.01,0.0,0.0,0.01,0.11
19,4.007606,97.61444,0.21,0.2,0.01,0.0,0.01,0.12,0.21
20,4.007606,97.69757,0.07,0.1,0.32,0.01,0.01,1.24,0.47
21,4.007606,97.78071,0.03,0.38,1.38,0.19,0.05,0.25,0.26
22,4.007606,97.863846,0.86,0.24,1.04,0.02,0.09,0.0,0.0
23,4.007606,97.94698,0.0,0.02,1.96,0.0,0.1,0.01,0.01
24,4.007606,98.03012,0.0,0.02,1.54,0.0,0.0,0.03,0.01
25,4.007606,98.11325,0.0,0.7,1.46,0.0,0.0,0.0,0.0
26,4.007606,98.19639,0.0,0.5,1.07,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.02,0.24,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.04,0.04,0.0,0.0,0.02,0.0
29,4.007606,98.4458,0.0,0.04,0.01,0.0,0.0,0.0,0.0
30,4.007606,98.52893,0.0,0.01,0.04,0.0,0.0,0.12,0.0
31,4.007606,98.612076,0.0,0.0,0.01,0.02,0.0,0.0,0.0
32,4.007606,98.695206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4.007606,98.77834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4.007606,98.86148,0.0,0.0,0.0,0.0,0.03,0.0,0.01
35,4.007606,98.94461,0.0,0.03,0.0,0.0,0.02,0.0,0.0
36,4.007606,99.027756,0.0,0.0,0.12,0.03,0.0,0.0,0.0
37,4.007606,99.110886,0.0,0.0,0.03,0.11,0.03,0.02,0.05
38,4.007606,99.19402,0.0,0.02,0.04,0.01,0.0,0.45,0.08
39,4.007606,99.27716,0.0,0.07,0.1,0.01,0.0,0.64,0.0
40,4.007606,99.36029,0.01,0.25,2.49,0.08,0.0,0.04,0.01
41,4.007606,99.443436,0.0,0.09,1.25,0.0,0.0,0.11,0.02
42,4.007606,99.526566,0.0,0.58,0.08,0.0,0.0,0.06,0.39
43,4.007606,99.6097,0.0,0.06,0.24,0.26,0.0,0.17,2.14
44,4.007606,99.69284,0.0,0.0,0.42,0.47,0.0,0.0,1.03
45,4.007606,99.77597,0.0,0.01,0.15,0.1,0.0,0.0,0.05
46,4.007606,99.8591,0.0,0.07,0.01,0.1,0.04,0.0,0.0
47,4.007606,99.942245,0.0,0.19,0.01,0.17,0.01,0.0,0.02
48,4.007606,100.02538,0.0,0.23,0.32,0.01,0.1,0.0,0.01
49,4.007606,100.10852,0.0,0.02,0.83,0.09,0.01,0.0,0.0
50,4.007606,100.19165,0.0,0.1,0.45,0.01,0.0,0.04,0.0
51,4.007606,100.27478,0.0,1.88,0.03,0.06,0.06,0.03,0.01
52,4.007606,100.357925,0.01,1.85,0.24,0.01,0.2,0.0,0.0
53,4.007606,100.44106,0.0,0.22,0.58,0.01,0.02,0.0,0.0
54,4.007606,100.5242,0.0,0.0,0.04,0.0,0.05,0.0,0.0
55,4.007606,100.60733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4.007606,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.007606,100.773605,0.1,0.0,0.0,0.0,0.0,0.0,0.0
58,4.007606,100.85674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4.007606,100.93988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4.007606,101.02302,0.0,0.02,0.02,0.0,0.0,0.0,0.0
61,4.007606,101.10615,0.0,0.0,0.07,0.0,0.0,0.0,0.0
62,4.007606,101.189285,0.0,0.0,0.1,0.0,0.0,0.0,0.0
63,4.007606,101.27242,0.01,0.0,0.3,0.0,0.01,0.0,0.0
64,4.007606,101.35556,0.04,0.0,0.27,0.0,0.0,0.0,0.0
65,4.007606,101.4387,0.0,0.04,0.37,0.0,0.0,0.0,0.0
66,4.007606,101.52183,0.14,0.22,0.74,0.0,0.0,0.0,0.0
67,4.007606,101.604965,0.09,0.24,0.36,0.0,0.0,0.0,0.01
68,4.007606,101.6881,0.0,0.8,0.0,0.0,0.0,0.0,0.0
69,4.007606,101.77124,0.0,0.1,0.0,0.0,0.0,0.0,0.0
70,4.007606,101.85438,0.0,0.26,0.0,0.0,0.0,0.0,0.0
71,4.007606,101.93751,0.0,0.47,0.0,0.0,0.0,0.0,0.0
72,4.007606,102.020645,0.0,0.38,0.0,0.0,0.0,0.0,0.0
73,4.007606,102.10378,0.02,0.1,0.0,0.0,0.0,0.0,0.0
74,4.007606,102.18692,0.01,0.0,0.0,0.0,0.0,0.0,0.0
75,4.007606,102.27006,0.02,0.0,0.02,0.0,0.0,0.0,0.0
76,4.007606,102.35319,0.01,0.0,0.0,0.0,0.0,0.0,0.0
77,4.007606,102.436325,0.05,0.0,0.0,0.0,0.0,0.0,0.0
78,4.007606,102.51946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4.007606,102.6026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4.007606,102.68574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4.007606,102.76887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.007606,102.852005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4.007606,102.93514,0.0,0.09,0.0,0.0,0.0,0.0,0.0
84,4.007606,103.01828,0.0,1.12,0.0,0.01,0.0,0.0,0.0
85,4.007606,103.10142,0.0,0.14,0.0,0.0,0.0,0.0,0.03
86,4.007606,103.18455,0.0,0.0,0.0,0.0,0.0,0.0,0.01
87,4.007606,103.267685,0.0,0.0,0.0,0.0,0.0,0.0,0.01
