,lat,lon,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024
0,4.007606,96.03485,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
1,4.007606,96.11799,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2,4.007606,96.201126,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0
3,4.007606,96.28426,0.0,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0
4,4.007606,96.36739,0.0,0.21,0.71,0.0,0.0,0.0,0.0,0.0,0.0
5,4.007606,96.45053,0.0,1.59,1.02,0.0,0.0,0.0,0.0,0.0,0.05
6,4.007606,96.53367,0.02,5.11,0.12,0.0,0.0,0.0,0.0,0.0,0.22
7,4.007606,96.616806,0.2,1.85,0.01,0.0,0.0,0.1,0.0,0.0,0.63
8,4.007606,96.69994,0.38,0.29,0.07,0.02,0.0,0.05,0.01,0.0,1.01
9,4.007606,96.78308,0.23,0.04,0.29,1.16,0.02,0.0,0.0,0.0,0.87
10,4.007606,96.86621,0.08,0.28,0.02,0.82,0.01,0.0,0.14,0.05,0.77
11,4.007606,96.94935,0.0,0.5,0.04,0.12,0.0,0.66,0.26,0.16,0.5
12,4.007606,97.032486,0.11,0.84,0.03,0.04,0.0,0.08,0.01,0.36,0.18
13,4.007606,97.11562,0.01,0.2,0.08,0.62,0.0,0.02,0.0,0.05,1.2
14,4.007606,97.19876,0.07,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.3
15,4.007606,97.28189,0.04,0.27,0.02,0.0,0.0,0.02,0.0,0.0,0.02
16,4.007606,97.36503,0.03,0.02,0.01,0.0,0.0,0.3,0.0,0.0,0.0
17,4.007606,97.448166,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0
18,4.007606,97.5313,0.01,0.3,0.09,0.0,0.05,0.18,0.05,0.19,0.15
19,4.007606,97.61444,0.11,0.76,0.02,0.18,0.01,0.01,0.32,0.0,0.0
20,4.007606,97.69757,0.19,0.17,0.18,0.02,0.0,0.14,0.0,0.11,0.0
21,4.007606,97.78071,0.11,0.08,0.14,0.06,0.04,2.52,0.0,0.07,0.0
22,4.007606,97.863846,0.0,1.57,0.0,0.0,0.0,0.86,0.0,0.02,0.0
23,4.007606,97.94698,0.0,0.11,0.1,0.0,0.0,1.22,0.0,0.2,0.0
24,4.007606,98.03012,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.01,0.0
25,4.007606,98.11325,0.0,0.04,0.14,0.0,0.0,0.01,0.0,0.0,0.0
26,4.007606,98.19639,0.0,1.01,0.34,0.0,0.0,0.0,0.0,0.0,0.0
27,4.007606,98.279526,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
28,4.007606,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4.007606,98.4458,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
